Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,6,,|,nicaragua,1,-7
Nepal,9,3,|,nicaragua,1,0
Nepal,9,0,|,nicaragua,2,1
Nepal,9,0,|,nicaragua,2,0
Nepal,9,0,|,nicaragua,2,0
Nepal,9,0,|,nicaragua,2,0
Nepal,9,0,|,nicaragua,2,0
Nepal,9,0,|,nicaragua,2,0
Nepal,,,|,nicaragua,2,0
Nepal,,,|,nicaragua,4,2
Nepal,,,|,nicaragua,4,0
Nepal,,,|,nicaragua,4,0
Nepal,,,|,nicaragua,5,1
Nepal,,,|,nicaragua,5,0
Nepal,,,|,nicaragua,5,0
Nepal,,,|,nicaragua,5,0
Nepal,,,|,nicaragua,5,0
Nepal,,,|,nicaragua,6,1
Nepal,,,|,nicaragua,6,0
Nepal,,,|,nicaragua,6,0
Nepal,,,|,nicaragua,6,0
Nepal,,,|,nicaragua,7,1
Nepal,,,|,nicaragua,7,0
Nepal,,,|,nicaragua,8,1
