Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,1,,|,taiwan,1,-384
Nepal,1,0,|,taiwan,1,0
Nepal,1,0,|,taiwan,3,2
Nepal,1,0,|,taiwan,3,0
Nepal,1,0,|,taiwan,4,1
Nepal,2,1,|,taiwan,5,1
Nepal,2,0,|,taiwan,8,3
Nepal,3,1,|,taiwan,8,0
Nepal,3,0,|,taiwan,9,1
Nepal,4,1,|,taiwan,10,1
Nepal,5,1,|,taiwan,10,0
Nepal,5,0,|,taiwan,10,0
Nepal,5,0,|,taiwan,10,0
Nepal,5,0,|,taiwan,11,1
Nepal,5,0,|,taiwan,11,0
Nepal,6,1,|,taiwan,16,5
Nepal,6,0,|,taiwan,16,0
Nepal,9,3,|,taiwan,17,1
Nepal,9,0,|,taiwan,18,1
Nepal,9,0,|,taiwan,18,0
Nepal,9,0,|,taiwan,18,0
Nepal,9,0,|,taiwan,18,0
Nepal,9,0,|,taiwan,18,0
Nepal,9,0,|,taiwan,18,0
Nepal,,,|,taiwan,18,0
Nepal,,,|,taiwan,20,2
Nepal,,,|,taiwan,22,2
Nepal,,,|,taiwan,22,0
Nepal,,,|,taiwan,23,1
Nepal,,,|,taiwan,24,1
Nepal,,,|,taiwan,26,2
Nepal,,,|,taiwan,26,0
Nepal,,,|,taiwan,28,2
Nepal,,,|,taiwan,30,2
Nepal,,,|,taiwan,31,1
Nepal,,,|,taiwan,32,1
Nepal,,,|,taiwan,32,0
Nepal,,,|,taiwan,34,2
Nepal,,,|,taiwan,39,5
Nepal,,,|,taiwan,40,1
Nepal,,,|,taiwan,41,1
Nepal,,,|,taiwan,42,1
Nepal,,,|,taiwan,42,0
Nepal,,,|,taiwan,44,2
Nepal,,,|,taiwan,45,1
Nepal,,,|,taiwan,45,0
Nepal,,,|,taiwan,45,0
Nepal,,,|,taiwan,45,0
Nepal,,,|,taiwan,47,2
Nepal,,,|,taiwan,48,1
Nepal,,,|,taiwan,49,1
Nepal,,,|,taiwan,50,1
Nepal,,,|,taiwan,53,3
Nepal,,,|,taiwan,59,6
Nepal,,,|,taiwan,67,8
Nepal,,,|,taiwan,77,10
Nepal,,,|,taiwan,100,23
Nepal,,,|,taiwan,108,8
Nepal,,,|,taiwan,135,27
Nepal,,,|,taiwan,153,18
Nepal,,,|,taiwan,169,16
Nepal,,,|,taiwan,195,26
Nepal,,,|,taiwan,215,20
Nepal,,,|,taiwan,235,20
Nepal,,,|,taiwan,252,17
Nepal,,,|,taiwan,267,15
Nepal,,,|,taiwan,283,16
Nepal,,,|,taiwan,298,15
Nepal,,,|,taiwan,306,8
Nepal,,,|,taiwan,322,16
Nepal,,,|,taiwan,329,7
Nepal,,,|,taiwan,339,10
Nepal,,,|,taiwan,348,9
Nepal,,,|,taiwan,355,7
Nepal,,,|,taiwan,363,8
Nepal,,,|,taiwan,373,10
Nepal,,,|,taiwan,376,3
Nepal,,,|,taiwan,379,3
Nepal,,,|,taiwan,380,1
Nepal,,,|,taiwan,382,2
Nepal,,,|,taiwan,385,3
