Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,503,,|,austria,2,-13804
Netherlands,503,0,|,austria,2,0
Netherlands,806,303,|,austria,3,1
Netherlands,962,156,|,austria,3,0
Netherlands,1138,176,|,austria,9,6
Netherlands,1416,278,|,austria,14,5
Netherlands,1711,295,|,austria,18,4
Netherlands,2058,347,|,austria,21,3
Netherlands,2467,409,|,austria,29,8
Netherlands,3003,536,|,austria,41,12
Netherlands,3640,637,|,austria,55,14
Netherlands,4217,577,|,austria,79,24
Netherlands,4764,547,|,austria,104,25
Netherlands,5580,816,|,austria,131,27
Netherlands,6438,858,|,austria,182,51
Netherlands,7468,1030,|,austria,246,64
Netherlands,8647,1179,|,austria,302,56
Netherlands,9819,1172,|,austria,504,202
Netherlands,10930,1111,|,austria,655,151
Netherlands,11817,887,|,austria,860,205
Netherlands,12667,850,|,austria,1018,158
Netherlands,13696,1029,|,austria,1332,314
Netherlands,14788,1092,|,austria,1646,314
Netherlands,15821,1033,|,austria,2013,367
Netherlands,16727,906,|,austria,2388,375
Netherlands,17953,1226,|,austria,2814,426
Netherlands,18926,973,|,austria,3582,768
Netherlands,19709,783,|,austria,4474,892
Netherlands,20682,973,|,austria,5283,809
Netherlands,21903,1221,|,austria,5588,305
Netherlands,23249,1346,|,austria,6909,1321
Netherlands,,,|,austria,7657,748
Netherlands,,,|,austria,8271,614
Netherlands,,,|,austria,8788,517
Netherlands,,,|,austria,9618,830
Netherlands,,,|,austria,10180,562
Netherlands,,,|,austria,10711,531
Netherlands,,,|,austria,11129,418
Netherlands,,,|,austria,11524,395
Netherlands,,,|,austria,11781,257
Netherlands,,,|,austria,12051,270
Netherlands,,,|,austria,12297,246
Netherlands,,,|,austria,12639,342
Netherlands,,,|,austria,12942,303
Netherlands,,,|,austria,13244,302
Netherlands,,,|,austria,13555,311
Netherlands,,,|,austria,13806,251
