Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,,,|,belgium,1,-28017
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,,,|,belgium,1,0
Netherlands,1,,|,belgium,1,0
Netherlands,1,0,|,belgium,1,0
Netherlands,6,5,|,belgium,1,0
Netherlands,10,4,|,belgium,1,0
Netherlands,18,8,|,belgium,1,0
Netherlands,24,6,|,belgium,1,0
Netherlands,38,14,|,belgium,1,0
Netherlands,82,44,|,belgium,1,0
Netherlands,128,46,|,belgium,1,0
Netherlands,188,60,|,belgium,1,0
Netherlands,265,77,|,belgium,2,1
Netherlands,321,56,|,belgium,8,6
Netherlands,382,61,|,belgium,13,5
Netherlands,503,121,|,belgium,23,10
Netherlands,503,0,|,belgium,50,27
Netherlands,806,303,|,belgium,109,59
Netherlands,962,156,|,belgium,169,60
Netherlands,1138,176,|,belgium,200,31
Netherlands,1416,278,|,belgium,239,39
Netherlands,1711,295,|,belgium,267,28
Netherlands,2058,347,|,belgium,314,47
Netherlands,2467,409,|,belgium,314,0
Netherlands,3003,536,|,belgium,559,245
Netherlands,3640,637,|,belgium,689,130
Netherlands,4217,577,|,belgium,886,197
Netherlands,4764,547,|,belgium,1058,172
Netherlands,5580,816,|,belgium,1243,185
Netherlands,6438,858,|,belgium,1486,243
Netherlands,7468,1030,|,belgium,1795,309
Netherlands,8647,1179,|,belgium,2257,462
Netherlands,9819,1172,|,belgium,2815,558
Netherlands,10930,1111,|,belgium,3401,586
Netherlands,11817,887,|,belgium,3743,342
Netherlands,12667,850,|,belgium,4269,526
Netherlands,13696,1029,|,belgium,4937,668
Netherlands,14788,1092,|,belgium,6235,1298
Netherlands,15821,1033,|,belgium,7284,1049
Netherlands,16727,906,|,belgium,9134,1850
Netherlands,17953,1226,|,belgium,10836,1702
Netherlands,18926,973,|,belgium,11899,1063
Netherlands,19709,783,|,belgium,12775,876
Netherlands,20682,973,|,belgium,13964,1189
Netherlands,21903,1221,|,belgium,15348,1384
Netherlands,23249,1346,|,belgium,16770,1422
Netherlands,24571,1322,|,belgium,18431,1661
Netherlands,,,|,belgium,19691,1260
Netherlands,,,|,belgium,20814,1123
Netherlands,,,|,belgium,22194,1380
Netherlands,,,|,belgium,23403,1209
Netherlands,,,|,belgium,24983,1580
Netherlands,,,|,belgium,26667,1684
Netherlands,,,|,belgium,28018,1351
