Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,,,|,canada,1,-23315
Netherlands,,,|,canada,1,0
Netherlands,,,|,canada,2,1
Netherlands,,,|,canada,2,0
Netherlands,,,|,canada,2,0
Netherlands,,,|,canada,4,2
Netherlands,,,|,canada,4,0
Netherlands,,,|,canada,4,0
Netherlands,,,|,canada,4,0
Netherlands,,,|,canada,4,0
Netherlands,,,|,canada,5,1
Netherlands,,,|,canada,5,0
Netherlands,,,|,canada,7,2
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,7,0
Netherlands,,,|,canada,8,1
Netherlands,1,,|,canada,8,0
Netherlands,1,0,|,canada,8,0
Netherlands,6,5,|,canada,8,0
Netherlands,10,4,|,canada,9,1
Netherlands,18,8,|,canada,9,0
Netherlands,24,6,|,canada,9,0
Netherlands,38,14,|,canada,10,1
Netherlands,82,44,|,canada,11,1
Netherlands,128,46,|,canada,11,0
Netherlands,188,60,|,canada,13,2
Netherlands,265,77,|,canada,14,1
Netherlands,321,56,|,canada,20,6
Netherlands,382,61,|,canada,24,4
Netherlands,503,121,|,canada,27,3
Netherlands,503,0,|,canada,30,3
Netherlands,806,303,|,canada,33,3
Netherlands,962,156,|,canada,37,4
Netherlands,1138,176,|,canada,49,12
Netherlands,1416,278,|,canada,54,5
Netherlands,1711,295,|,canada,64,10
Netherlands,2058,347,|,canada,77,13
Netherlands,2467,409,|,canada,79,2
Netherlands,3003,536,|,canada,108,29
Netherlands,3640,637,|,canada,117,9
Netherlands,4217,577,|,canada,193,76
Netherlands,4764,547,|,canada,198,5
Netherlands,5580,816,|,canada,252,54
Netherlands,6438,858,|,canada,415,163
Netherlands,7468,1030,|,canada,478,63
Netherlands,8647,1179,|,canada,657,179
Netherlands,9819,1172,|,canada,800,143
Netherlands,10930,1111,|,canada,943,143
Netherlands,11817,887,|,canada,1277,334
Netherlands,12667,850,|,canada,1469,192
Netherlands,13696,1029,|,canada,2088,619
Netherlands,14788,1092,|,canada,2790,702
Netherlands,15821,1033,|,canada,3251,461
Netherlands,16727,906,|,canada,4042,791
Netherlands,17953,1226,|,canada,4682,640
Netherlands,18926,973,|,canada,5576,894
Netherlands,19709,783,|,canada,6280,704
Netherlands,20682,973,|,canada,7398,1118
Netherlands,21903,1221,|,canada,8527,1129
Netherlands,23249,1346,|,canada,9560,1033
Netherlands,24571,1322,|,canada,11284,1724
Netherlands,,,|,canada,12437,1153
Netherlands,,,|,canada,12978,541
Netherlands,,,|,canada,15756,2778
Netherlands,,,|,canada,16563,807
Netherlands,,,|,canada,17872,1309
Netherlands,,,|,canada,19141,1269
Netherlands,,,|,canada,20654,1513
Netherlands,,,|,canada,22059,1405
Netherlands,,,|,canada,23316,1257
