Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,1711,,|,iran,2,-70027
Netherlands,2058,347,|,iran,5,3
Netherlands,2467,409,|,iran,18,13
Netherlands,3003,536,|,iran,28,10
Netherlands,3640,637,|,iran,43,15
Netherlands,4217,577,|,iran,61,18
Netherlands,4764,547,|,iran,95,34
Netherlands,5580,816,|,iran,139,44
Netherlands,6438,858,|,iran,245,106
Netherlands,7468,1030,|,iran,388,143
Netherlands,8647,1179,|,iran,593,205
Netherlands,9819,1172,|,iran,978,385
Netherlands,10930,1111,|,iran,1501,523
Netherlands,11817,887,|,iran,2336,835
Netherlands,12667,850,|,iran,2922,586
Netherlands,13696,1029,|,iran,3513,591
Netherlands,14788,1092,|,iran,4747,1234
Netherlands,15821,1033,|,iran,5823,1076
Netherlands,16727,906,|,iran,6566,743
Netherlands,17953,1226,|,iran,7161,595
Netherlands,18926,973,|,iran,8042,881
Netherlands,19709,783,|,iran,9000,958
Netherlands,20682,973,|,iran,10075,1075
Netherlands,21903,1221,|,iran,11364,1289
Netherlands,23249,1346,|,iran,12729,1365
Netherlands,,,|,iran,13938,1209
Netherlands,,,|,iran,14991,1053
Netherlands,,,|,iran,16169,1178
Netherlands,,,|,iran,17361,1192
Netherlands,,,|,iran,18407,1046
Netherlands,,,|,iran,19644,1237
Netherlands,,,|,iran,20610,966
Netherlands,,,|,iran,21638,1028
Netherlands,,,|,iran,23049,1411
Netherlands,,,|,iran,24811,1762
Netherlands,,,|,iran,27017,2206
Netherlands,,,|,iran,29406,2389
Netherlands,,,|,iran,32332,2926
Netherlands,,,|,iran,35408,3076
Netherlands,,,|,iran,38309,2901
Netherlands,,,|,iran,41495,3186
Netherlands,,,|,iran,44605,3110
Netherlands,,,|,iran,47593,2988
Netherlands,,,|,iran,50468,2875
Netherlands,,,|,iran,53183,2715
Netherlands,,,|,iran,55743,2560
Netherlands,,,|,iran,58226,2483
Netherlands,,,|,iran,60500,2274
Netherlands,,,|,iran,62589,2089
Netherlands,,,|,iran,64586,1997
Netherlands,,,|,iran,66220,1634
Netherlands,,,|,iran,68192,1972
Netherlands,,,|,iran,70029,1837
