Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,503,,|,portugal,2,-15985
Netherlands,503,0,|,portugal,2,0
Netherlands,806,303,|,portugal,5,3
Netherlands,962,156,|,portugal,8,3
Netherlands,1138,176,|,portugal,13,5
Netherlands,1416,278,|,portugal,20,7
Netherlands,1711,295,|,portugal,30,10
Netherlands,2058,347,|,portugal,30,0
Netherlands,2467,409,|,portugal,41,11
Netherlands,3003,536,|,portugal,59,18
Netherlands,3640,637,|,portugal,59,0
Netherlands,4217,577,|,portugal,112,53
Netherlands,4764,547,|,portugal,169,57
Netherlands,5580,816,|,portugal,245,76
Netherlands,6438,858,|,portugal,331,86
Netherlands,7468,1030,|,portugal,448,117
Netherlands,8647,1179,|,portugal,448,0
Netherlands,9819,1172,|,portugal,785,337
Netherlands,10930,1111,|,portugal,1020,235
Netherlands,11817,887,|,portugal,1280,260
Netherlands,12667,850,|,portugal,1600,320
Netherlands,13696,1029,|,portugal,2060,460
Netherlands,14788,1092,|,portugal,2362,302
Netherlands,15821,1033,|,portugal,2995,633
Netherlands,16727,906,|,portugal,3544,549
Netherlands,17953,1226,|,portugal,4268,724
Netherlands,18926,973,|,portugal,5170,902
Netherlands,19709,783,|,portugal,5962,792
Netherlands,20682,973,|,portugal,6408,446
Netherlands,21903,1221,|,portugal,7443,1035
Netherlands,23249,1346,|,portugal,8251,808
Netherlands,,,|,portugal,9034,783
Netherlands,,,|,portugal,9886,852
Netherlands,,,|,portugal,10524,638
Netherlands,,,|,portugal,11278,754
Netherlands,,,|,portugal,11730,452
Netherlands,,,|,portugal,12442,712
Netherlands,,,|,portugal,13141,699
Netherlands,,,|,portugal,13956,815
Netherlands,,,|,portugal,15472,1516
Netherlands,,,|,portugal,15987,515
