Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Netherlands,,,|,russia,2,-13582
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,,,|,russia,2,0
Netherlands,1,,|,russia,2,0
Netherlands,1,0,|,russia,2,0
Netherlands,6,5,|,russia,2,0
Netherlands,10,4,|,russia,2,0
Netherlands,18,8,|,russia,2,0
Netherlands,24,6,|,russia,2,0
Netherlands,38,14,|,russia,3,1
Netherlands,82,44,|,russia,3,0
Netherlands,128,46,|,russia,3,0
Netherlands,188,60,|,russia,4,1
Netherlands,265,77,|,russia,13,9
Netherlands,321,56,|,russia,13,0
Netherlands,382,61,|,russia,17,4
Netherlands,503,121,|,russia,17,0
Netherlands,503,0,|,russia,20,3
Netherlands,806,303,|,russia,20,0
Netherlands,962,156,|,russia,28,8
Netherlands,1138,176,|,russia,45,17
Netherlands,1416,278,|,russia,59,14
Netherlands,1711,295,|,russia,63,4
Netherlands,2058,347,|,russia,90,27
Netherlands,2467,409,|,russia,114,24
Netherlands,3003,536,|,russia,147,33
Netherlands,3640,637,|,russia,199,52
Netherlands,4217,577,|,russia,253,54
Netherlands,4764,547,|,russia,306,53
Netherlands,5580,816,|,russia,367,61
Netherlands,6438,858,|,russia,438,71
Netherlands,7468,1030,|,russia,495,57
Netherlands,8647,1179,|,russia,658,163
Netherlands,9819,1172,|,russia,840,182
Netherlands,10930,1111,|,russia,1036,196
Netherlands,11817,887,|,russia,1264,228
Netherlands,12667,850,|,russia,1534,270
Netherlands,13696,1029,|,russia,1836,302
Netherlands,14788,1092,|,russia,2337,501
Netherlands,15821,1033,|,russia,2777,440
Netherlands,16727,906,|,russia,3548,771
Netherlands,17953,1226,|,russia,4149,601
Netherlands,18926,973,|,russia,4731,582
Netherlands,19709,783,|,russia,5389,658
Netherlands,20682,973,|,russia,6343,954
Netherlands,21903,1221,|,russia,7497,1154
Netherlands,23249,1346,|,russia,8672,1175
Netherlands,24571,1322,|,russia,10131,1459
Netherlands,,,|,russia,11917,1786
Netherlands,,,|,russia,13584,1667
