Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,4,,|,belize,1,-12
Nicaragua,4,0,|,belize,1,0
Nicaragua,5,1,|,belize,2,1
Nicaragua,5,0,|,belize,2,0
Nicaragua,5,0,|,belize,2,0
Nicaragua,5,0,|,belize,2,0
Nicaragua,5,0,|,belize,2,0
Nicaragua,6,1,|,belize,3,1
Nicaragua,6,0,|,belize,3,0
Nicaragua,6,0,|,belize,3,0
Nicaragua,6,0,|,belize,3,0
Nicaragua,7,1,|,belize,4,1
Nicaragua,7,0,|,belize,4,0
Nicaragua,,,|,belize,5,1
Nicaragua,,,|,belize,7,2
Nicaragua,,,|,belize,7,0
Nicaragua,,,|,belize,8,1
Nicaragua,,,|,belize,9,1
Nicaragua,,,|,belize,10,1
Nicaragua,,,|,belize,13,3
