Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,4,,|,germany,1,-124907
Nicaragua,4,0,|,germany,4,3
Nicaragua,5,1,|,germany,4,0
Nicaragua,5,0,|,germany,4,0
Nicaragua,5,0,|,germany,5,1
Nicaragua,5,0,|,germany,8,3
Nicaragua,5,0,|,germany,10,2
Nicaragua,6,1,|,germany,12,2
Nicaragua,6,0,|,germany,12,0
Nicaragua,6,0,|,germany,12,0
Nicaragua,6,0,|,germany,12,0
Nicaragua,7,1,|,germany,13,1
Nicaragua,7,0,|,germany,13,0
Nicaragua,,,|,germany,14,1
Nicaragua,,,|,germany,14,0
Nicaragua,,,|,germany,16,2
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,16,0
Nicaragua,,,|,germany,17,1
Nicaragua,,,|,germany,27,10
Nicaragua,,,|,germany,46,19
Nicaragua,,,|,germany,48,2
Nicaragua,,,|,germany,79,31
Nicaragua,,,|,germany,130,51
Nicaragua,,,|,germany,159,29
Nicaragua,,,|,germany,196,37
Nicaragua,,,|,germany,262,66
Nicaragua,,,|,germany,482,220
Nicaragua,,,|,germany,670,188
Nicaragua,,,|,germany,799,129
Nicaragua,,,|,germany,1040,241
Nicaragua,,,|,germany,1176,136
Nicaragua,,,|,germany,1457,281
Nicaragua,,,|,germany,1908,451
Nicaragua,,,|,germany,2078,170
Nicaragua,,,|,germany,3675,1597
Nicaragua,,,|,germany,4585,910
Nicaragua,,,|,germany,5795,1210
Nicaragua,,,|,germany,7272,1477
Nicaragua,,,|,germany,9257,1985
Nicaragua,,,|,germany,12327,3070
Nicaragua,,,|,germany,15320,2993
Nicaragua,,,|,germany,19848,4528
Nicaragua,,,|,germany,22213,2365
Nicaragua,,,|,germany,24873,2660
Nicaragua,,,|,germany,29056,4183
Nicaragua,,,|,germany,32986,3930
Nicaragua,,,|,germany,37323,4337
Nicaragua,,,|,germany,43938,6615
Nicaragua,,,|,germany,50871,6933
Nicaragua,,,|,germany,57695,6824
Nicaragua,,,|,germany,62095,4400
Nicaragua,,,|,germany,66885,4790
Nicaragua,,,|,germany,71808,4923
Nicaragua,,,|,germany,77872,6064
Nicaragua,,,|,germany,84794,6922
Nicaragua,,,|,germany,91159,6365
Nicaragua,,,|,germany,96092,4933
Nicaragua,,,|,germany,100123,4031
Nicaragua,,,|,germany,103374,3251
Nicaragua,,,|,germany,107663,4289
Nicaragua,,,|,germany,113296,5633
Nicaragua,,,|,germany,118181,4885
Nicaragua,,,|,germany,122171,3990
Nicaragua,,,|,germany,124908,2737
