Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,5,,|,israel,1,-10742
Nicaragua,6,1,|,israel,1,0
Nicaragua,6,0,|,israel,1,0
Nicaragua,6,0,|,israel,1,0
Nicaragua,6,0,|,israel,1,0
Nicaragua,7,1,|,israel,2,1
Nicaragua,7,0,|,israel,3,1
Nicaragua,,,|,israel,4,1
Nicaragua,,,|,israel,7,3
Nicaragua,,,|,israel,10,3
Nicaragua,,,|,israel,10,0
Nicaragua,,,|,israel,12,2
Nicaragua,,,|,israel,15,3
Nicaragua,,,|,israel,20,5
Nicaragua,,,|,israel,37,17
Nicaragua,,,|,israel,43,6
Nicaragua,,,|,israel,61,18
Nicaragua,,,|,israel,61,0
Nicaragua,,,|,israel,75,14
Nicaragua,,,|,israel,79,4
Nicaragua,,,|,israel,100,21
Nicaragua,,,|,israel,126,26
Nicaragua,,,|,israel,155,29
Nicaragua,,,|,israel,213,58
Nicaragua,,,|,israel,218,5
Nicaragua,,,|,israel,250,32
Nicaragua,,,|,israel,304,54
Nicaragua,,,|,israel,427,123
Nicaragua,,,|,israel,529,102
Nicaragua,,,|,israel,712,183
Nicaragua,,,|,israel,883,171
Nicaragua,,,|,israel,1071,188
Nicaragua,,,|,israel,1238,167
Nicaragua,,,|,israel,2369,1131
Nicaragua,,,|,israel,2693,324
Nicaragua,,,|,israel,3035,342
Nicaragua,,,|,israel,3619,584
Nicaragua,,,|,israel,4247,628
Nicaragua,,,|,israel,4695,448
Nicaragua,,,|,israel,5358,663
Nicaragua,,,|,israel,6092,734
Nicaragua,,,|,israel,6857,765
Nicaragua,,,|,israel,7428,571
Nicaragua,,,|,israel,7851,423
Nicaragua,,,|,israel,8430,579
Nicaragua,,,|,israel,8904,474
Nicaragua,,,|,israel,9248,344
Nicaragua,,,|,israel,9404,156
Nicaragua,,,|,israel,9968,564
Nicaragua,,,|,israel,10408,440
Nicaragua,,,|,israel,10743,335
