Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,5,,|,luxembourg,1,-3269
Nicaragua,5,0,|,luxembourg,1,0
Nicaragua,6,1,|,luxembourg,1,0
Nicaragua,6,0,|,luxembourg,1,0
Nicaragua,6,0,|,luxembourg,1,0
Nicaragua,6,0,|,luxembourg,1,0
Nicaragua,7,1,|,luxembourg,2,1
Nicaragua,7,0,|,luxembourg,2,0
Nicaragua,,,|,luxembourg,3,1
Nicaragua,,,|,luxembourg,3,0
Nicaragua,,,|,luxembourg,5,2
Nicaragua,,,|,luxembourg,7,2
Nicaragua,,,|,luxembourg,19,12
Nicaragua,,,|,luxembourg,34,15
Nicaragua,,,|,luxembourg,51,17
Nicaragua,,,|,luxembourg,59,8
Nicaragua,,,|,luxembourg,77,18
Nicaragua,,,|,luxembourg,140,63
Nicaragua,,,|,luxembourg,203,63
Nicaragua,,,|,luxembourg,335,132
Nicaragua,,,|,luxembourg,484,149
Nicaragua,,,|,luxembourg,670,186
Nicaragua,,,|,luxembourg,798,128
Nicaragua,,,|,luxembourg,875,77
Nicaragua,,,|,luxembourg,1099,224
Nicaragua,,,|,luxembourg,1333,234
Nicaragua,,,|,luxembourg,1453,120
Nicaragua,,,|,luxembourg,1605,152
Nicaragua,,,|,luxembourg,1831,226
Nicaragua,,,|,luxembourg,1950,119
Nicaragua,,,|,luxembourg,1988,38
Nicaragua,,,|,luxembourg,2178,190
Nicaragua,,,|,luxembourg,2319,141
Nicaragua,,,|,luxembourg,2487,168
Nicaragua,,,|,luxembourg,2612,125
Nicaragua,,,|,luxembourg,2729,117
Nicaragua,,,|,luxembourg,2804,75
Nicaragua,,,|,luxembourg,2843,39
Nicaragua,,,|,luxembourg,2970,127
Nicaragua,,,|,luxembourg,3034,64
Nicaragua,,,|,luxembourg,3115,81
Nicaragua,,,|,luxembourg,3223,108
Nicaragua,,,|,luxembourg,3270,47
