Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,2,,|,mongolia,1,-15
Nicaragua,2,0,|,mongolia,1,0
Nicaragua,2,0,|,mongolia,1,0
Nicaragua,2,0,|,mongolia,1,0
Nicaragua,4,2,|,mongolia,1,0
Nicaragua,4,0,|,mongolia,1,0
Nicaragua,4,0,|,mongolia,1,0
Nicaragua,5,1,|,mongolia,5,4
Nicaragua,5,0,|,mongolia,6,1
Nicaragua,5,0,|,mongolia,6,0
Nicaragua,5,0,|,mongolia,6,0
Nicaragua,5,0,|,mongolia,10,4
Nicaragua,6,1,|,mongolia,10,0
Nicaragua,6,0,|,mongolia,10,0
Nicaragua,6,0,|,mongolia,10,0
Nicaragua,6,0,|,mongolia,10,0
Nicaragua,7,1,|,mongolia,11,1
Nicaragua,7,0,|,mongolia,11,0
Nicaragua,,,|,mongolia,12,1
Nicaragua,,,|,mongolia,12,0
Nicaragua,,,|,mongolia,12,0
Nicaragua,,,|,mongolia,12,0
Nicaragua,,,|,mongolia,14,2
Nicaragua,,,|,mongolia,14,0
Nicaragua,,,|,mongolia,14,0
Nicaragua,,,|,mongolia,14,0
Nicaragua,,,|,mongolia,14,0
Nicaragua,,,|,mongolia,15,1
Nicaragua,,,|,mongolia,15,0
Nicaragua,,,|,mongolia,16,1
Nicaragua,,,|,mongolia,16,0
Nicaragua,,,|,mongolia,16,0
Nicaragua,,,|,mongolia,16,0
