Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nicaragua,,,|,nepal,1,-8
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,,,|,nepal,1,0
Nicaragua,1,,|,nepal,1,0
Nicaragua,1,0,|,nepal,1,0
Nicaragua,2,1,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,2,0,|,nepal,1,0
Nicaragua,4,2,|,nepal,1,0
Nicaragua,4,0,|,nepal,1,0
Nicaragua,4,0,|,nepal,1,0
Nicaragua,5,1,|,nepal,1,0
Nicaragua,5,0,|,nepal,1,0
Nicaragua,5,0,|,nepal,1,0
Nicaragua,5,0,|,nepal,1,0
Nicaragua,5,0,|,nepal,1,0
Nicaragua,6,1,|,nepal,1,0
Nicaragua,6,0,|,nepal,1,0
Nicaragua,6,0,|,nepal,1,0
Nicaragua,6,0,|,nepal,1,0
Nicaragua,7,1,|,nepal,2,1
Nicaragua,7,0,|,nepal,2,0
Nicaragua,8,1,|,nepal,3,1
Nicaragua,,,|,nepal,3,0
Nicaragua,,,|,nepal,4,1
Nicaragua,,,|,nepal,5,1
Nicaragua,,,|,nepal,5,0
Nicaragua,,,|,nepal,5,0
Nicaragua,,,|,nepal,5,0
Nicaragua,,,|,nepal,5,0
Nicaragua,,,|,nepal,6,1
Nicaragua,,,|,nepal,6,0
Nicaragua,,,|,nepal,9,3
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
Nicaragua,,,|,nepal,9,0
