Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,55,,|,chile,1,-6926
Panama,69,14,|,chile,1,0
Panama,86,17,|,chile,4,3
Panama,109,23,|,chile,4,0
Panama,137,28,|,chile,4,0
Panama,200,63,|,chile,8,4
Panama,313,113,|,chile,8,0
Panama,345,32,|,chile,13,5
Panama,345,0,|,chile,23,10
Panama,443,98,|,chile,23,0
Panama,558,115,|,chile,43,20
Panama,674,116,|,chile,61,18
Panama,786,112,|,chile,74,13
Panama,901,115,|,chile,155,81
Panama,989,88,|,chile,201,46
Panama,1181,192,|,chile,238,37
Panama,1181,0,|,chile,238,0
Panama,1317,136,|,chile,434,196
Panama,1475,158,|,chile,537,103
Panama,1673,198,|,chile,632,95
Panama,1801,128,|,chile,746,114
Panama,1988,187,|,chile,922,176
Panama,2100,112,|,chile,1142,220
Panama,2249,149,|,chile,1306,164
Panama,2528,279,|,chile,1610,304
Panama,2752,224,|,chile,1909,299
Panama,,,|,chile,2139,230
Panama,,,|,chile,2449,310
Panama,,,|,chile,2738,289
Panama,,,|,chile,3031,293
Panama,,,|,chile,3404,373
Panama,,,|,chile,3737,333
Panama,,,|,chile,4161,424
Panama,,,|,chile,4471,310
Panama,,,|,chile,4815,344
Panama,,,|,chile,5116,301
Panama,,,|,chile,5546,430
Panama,,,|,chile,5972,426
Panama,,,|,chile,6501,529
Panama,,,|,chile,6927,426
