Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,,,|,denmark,1,-6190
Panama,,,|,denmark,1,0
Panama,,,|,denmark,3,2
Panama,1,,|,denmark,4,1
Panama,8,7,|,denmark,4,0
Panama,11,3,|,denmark,6,2
Panama,27,16,|,denmark,11,5
Panama,36,9,|,denmark,11,0
Panama,43,7,|,denmark,24,13
Panama,55,12,|,denmark,24,0
Panama,69,14,|,denmark,37,13
Panama,86,17,|,denmark,92,55
Panama,109,23,|,denmark,264,172
Panama,137,28,|,denmark,444,180
Panama,200,63,|,denmark,617,173
Panama,313,113,|,denmark,804,187
Panama,345,32,|,denmark,836,32
Panama,345,0,|,denmark,875,39
Panama,443,98,|,denmark,933,58
Panama,558,115,|,denmark,1025,92
Panama,674,116,|,denmark,1116,91
Panama,786,112,|,denmark,1225,109
Panama,901,115,|,denmark,1337,112
Panama,989,88,|,denmark,1420,83
Panama,1181,192,|,denmark,1514,94
Panama,1181,0,|,denmark,1572,58
Panama,1317,136,|,denmark,1718,146
Panama,1475,158,|,denmark,1862,144
Panama,1673,198,|,denmark,2023,161
Panama,1801,128,|,denmark,2200,177
Panama,1988,187,|,denmark,2366,166
Panama,2100,112,|,denmark,2564,198
Panama,2249,149,|,denmark,2755,191
Panama,2528,279,|,denmark,3039,284
Panama,2752,224,|,denmark,3290,251
Panama,2974,222,|,denmark,3573,283
Panama,,,|,denmark,3946,373
Panama,,,|,denmark,4269,323
Panama,,,|,denmark,4561,292
Panama,,,|,denmark,4875,314
Panama,,,|,denmark,5266,391
Panama,,,|,denmark,5597,331
Panama,,,|,denmark,5830,233
Panama,,,|,denmark,6014,184
Panama,,,|,denmark,6191,177
