Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,43,,|,ecuador,6,-7251
Panama,55,12,|,ecuador,6,0
Panama,69,14,|,ecuador,7,1
Panama,86,17,|,ecuador,10,3
Panama,109,23,|,ecuador,13,3
Panama,137,28,|,ecuador,13,0
Panama,200,63,|,ecuador,13,0
Panama,313,113,|,ecuador,14,1
Panama,345,32,|,ecuador,15,1
Panama,345,0,|,ecuador,15,0
Panama,443,98,|,ecuador,17,2
Panama,558,115,|,ecuador,17,0
Panama,674,116,|,ecuador,17,0
Panama,786,112,|,ecuador,28,11
Panama,901,115,|,ecuador,28,0
Panama,989,88,|,ecuador,37,9
Panama,1181,192,|,ecuador,58,21
Panama,1181,0,|,ecuador,111,53
Panama,1317,136,|,ecuador,199,88
Panama,1475,158,|,ecuador,367,168
Panama,1673,198,|,ecuador,506,139
Panama,1801,128,|,ecuador,789,283
Panama,1988,187,|,ecuador,981,192
Panama,2100,112,|,ecuador,1082,101
Panama,2249,149,|,ecuador,1173,91
Panama,2528,279,|,ecuador,1403,230
Panama,2752,224,|,ecuador,1595,192
Panama,,,|,ecuador,1823,228
Panama,,,|,ecuador,1924,101
Panama,,,|,ecuador,1962,38
Panama,,,|,ecuador,2240,278
Panama,,,|,ecuador,2748,508
Panama,,,|,ecuador,3163,415
Panama,,,|,ecuador,3368,205
Panama,,,|,ecuador,3465,97
Panama,,,|,ecuador,3646,181
Panama,,,|,ecuador,3747,101
Panama,,,|,ecuador,3747,0
Panama,,,|,ecuador,4450,703
Panama,,,|,ecuador,4965,515
Panama,,,|,ecuador,7161,2196
Panama,,,|,ecuador,7257,96
