Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,,,|,indonesia,2,-3840
Panama,,,|,indonesia,2,0
Panama,,,|,indonesia,2,0
Panama,,,|,indonesia,2,0
Panama,,,|,indonesia,4,2
Panama,1,,|,indonesia,4,0
Panama,8,7,|,indonesia,6,2
Panama,11,3,|,indonesia,19,13
Panama,27,16,|,indonesia,27,8
Panama,36,9,|,indonesia,34,7
Panama,43,7,|,indonesia,34,0
Panama,55,12,|,indonesia,69,35
Panama,69,14,|,indonesia,96,27
Panama,86,17,|,indonesia,117,21
Panama,109,23,|,indonesia,134,17
Panama,137,28,|,indonesia,172,38
Panama,200,63,|,indonesia,227,55
Panama,313,113,|,indonesia,311,84
Panama,345,32,|,indonesia,369,58
Panama,345,0,|,indonesia,450,81
Panama,443,98,|,indonesia,514,64
Panama,558,115,|,indonesia,579,65
Panama,674,116,|,indonesia,686,107
Panama,786,112,|,indonesia,790,104
Panama,901,115,|,indonesia,893,103
Panama,989,88,|,indonesia,1046,153
Panama,1181,192,|,indonesia,1155,109
Panama,1181,0,|,indonesia,1285,130
Panama,1317,136,|,indonesia,1414,129
Panama,1475,158,|,indonesia,1528,114
Panama,1673,198,|,indonesia,1677,149
Panama,1801,128,|,indonesia,1790,113
Panama,1988,187,|,indonesia,1986,196
Panama,2100,112,|,indonesia,2092,106
Panama,2249,149,|,indonesia,2273,181
Panama,2528,279,|,indonesia,2491,218
Panama,2752,224,|,indonesia,2738,247
Panama,2974,222,|,indonesia,2956,218
Panama,,,|,indonesia,3293,337
Panama,,,|,indonesia,3512,219
Panama,,,|,indonesia,3842,330
