Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,27,,|,italy,2,-152269
Panama,36,9,|,italy,2,0
Panama,43,7,|,italy,2,0
Panama,55,12,|,italy,2,0
Panama,69,14,|,italy,2,0
Panama,86,17,|,italy,2,0
Panama,109,23,|,italy,2,0
Panama,137,28,|,italy,3,1
Panama,200,63,|,italy,3,0
Panama,313,113,|,italy,3,0
Panama,345,32,|,italy,3,0
Panama,345,0,|,italy,3,0
Panama,443,98,|,italy,3,0
Panama,558,115,|,italy,3,0
Panama,674,116,|,italy,3,0
Panama,786,112,|,italy,3,0
Panama,901,115,|,italy,3,0
Panama,989,88,|,italy,3,0
Panama,1181,192,|,italy,3,0
Panama,1181,0,|,italy,3,0
Panama,1317,136,|,italy,3,0
Panama,1475,158,|,italy,20,17
Panama,1673,198,|,italy,62,42
Panama,1801,128,|,italy,155,93
Panama,1988,187,|,italy,229,74
Panama,2100,112,|,italy,322,93
Panama,2249,149,|,italy,453,131
Panama,2528,279,|,italy,655,202
Panama,2752,224,|,italy,888,233
Panama,,,|,italy,1128,240
Panama,,,|,italy,1694,566
Panama,,,|,italy,2036,342
Panama,,,|,italy,2502,466
Panama,,,|,italy,3089,587
Panama,,,|,italy,3858,769
Panama,,,|,italy,4636,778
Panama,,,|,italy,5883,1247
Panama,,,|,italy,7375,1492
Panama,,,|,italy,9172,1797
Panama,,,|,italy,10149,977
Panama,,,|,italy,12462,2313
Panama,,,|,italy,12462,0
Panama,,,|,italy,17660,5198
Panama,,,|,italy,21157,3497
Panama,,,|,italy,24747,3590
Panama,,,|,italy,27980,3233
Panama,,,|,italy,31506,3526
Panama,,,|,italy,35713,4207
Panama,,,|,italy,41035,5322
Panama,,,|,italy,47021,5986
Panama,,,|,italy,53578,6557
Panama,,,|,italy,59138,5560
Panama,,,|,italy,63927,4789
Panama,,,|,italy,69176,5249
Panama,,,|,italy,74386,5210
Panama,,,|,italy,80589,6203
Panama,,,|,italy,86498,5909
Panama,,,|,italy,92472,5974
Panama,,,|,italy,97689,5217
Panama,,,|,italy,101739,4050
Panama,,,|,italy,105792,4053
Panama,,,|,italy,110574,4782
Panama,,,|,italy,115242,4668
Panama,,,|,italy,119827,4585
Panama,,,|,italy,124632,4805
Panama,,,|,italy,128948,4316
Panama,,,|,italy,132547,3599
Panama,,,|,italy,135586,3039
Panama,,,|,italy,139422,3836
Panama,,,|,italy,143626,4204
Panama,,,|,italy,147577,3951
Panama,,,|,italy,152271,4694
