Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,55,,|,luxembourg,1,-3269
Panama,69,14,|,luxembourg,1,0
Panama,86,17,|,luxembourg,1,0
Panama,109,23,|,luxembourg,1,0
Panama,137,28,|,luxembourg,1,0
Panama,200,63,|,luxembourg,1,0
Panama,313,113,|,luxembourg,2,1
Panama,345,32,|,luxembourg,2,0
Panama,345,0,|,luxembourg,3,1
Panama,443,98,|,luxembourg,3,0
Panama,558,115,|,luxembourg,5,2
Panama,674,116,|,luxembourg,7,2
Panama,786,112,|,luxembourg,19,12
Panama,901,115,|,luxembourg,34,15
Panama,989,88,|,luxembourg,51,17
Panama,1181,192,|,luxembourg,59,8
Panama,1181,0,|,luxembourg,77,18
Panama,1317,136,|,luxembourg,140,63
Panama,1475,158,|,luxembourg,203,63
Panama,1673,198,|,luxembourg,335,132
Panama,1801,128,|,luxembourg,484,149
Panama,1988,187,|,luxembourg,670,186
Panama,2100,112,|,luxembourg,798,128
Panama,2249,149,|,luxembourg,875,77
Panama,2528,279,|,luxembourg,1099,224
Panama,2752,224,|,luxembourg,1333,234
Panama,,,|,luxembourg,1453,120
Panama,,,|,luxembourg,1605,152
Panama,,,|,luxembourg,1831,226
Panama,,,|,luxembourg,1950,119
Panama,,,|,luxembourg,1988,38
Panama,,,|,luxembourg,2178,190
Panama,,,|,luxembourg,2319,141
Panama,,,|,luxembourg,2487,168
Panama,,,|,luxembourg,2612,125
Panama,,,|,luxembourg,2729,117
Panama,,,|,luxembourg,2804,75
Panama,,,|,luxembourg,2843,39
Panama,,,|,luxembourg,2970,127
Panama,,,|,luxembourg,3034,64
Panama,,,|,luxembourg,3115,81
Panama,,,|,luxembourg,3223,108
Panama,,,|,luxembourg,3270,47
