Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,,,|,mexico,1,-3843
Panama,,,|,mexico,4,3
Panama,,,|,mexico,5,1
Panama,,,|,mexico,5,0
Panama,,,|,mexico,5,0
Panama,,,|,mexico,5,0
Panama,,,|,mexico,5,0
Panama,1,,|,mexico,6,1
Panama,8,7,|,mexico,6,0
Panama,11,3,|,mexico,7,1
Panama,27,16,|,mexico,7,0
Panama,36,9,|,mexico,7,0
Panama,43,7,|,mexico,8,1
Panama,55,12,|,mexico,12,4
Panama,69,14,|,mexico,12,0
Panama,86,17,|,mexico,26,14
Panama,109,23,|,mexico,41,15
Panama,137,28,|,mexico,53,12
Panama,200,63,|,mexico,82,29
Panama,313,113,|,mexico,93,11
Panama,345,32,|,mexico,118,25
Panama,345,0,|,mexico,164,46
Panama,443,98,|,mexico,203,39
Panama,558,115,|,mexico,251,48
Panama,674,116,|,mexico,316,65
Panama,786,112,|,mexico,367,51
Panama,901,115,|,mexico,405,38
Panama,989,88,|,mexico,475,70
Panama,1181,192,|,mexico,585,110
Panama,1181,0,|,mexico,717,132
Panama,1317,136,|,mexico,848,131
Panama,1475,158,|,mexico,993,145
Panama,1673,198,|,mexico,1094,101
Panama,1801,128,|,mexico,1215,121
Panama,1988,187,|,mexico,1378,163
Panama,2100,112,|,mexico,1510,132
Panama,2249,149,|,mexico,1688,178
Panama,2528,279,|,mexico,1890,202
Panama,2752,224,|,mexico,2143,253
Panama,2974,222,|,mexico,2439,296
Panama,,,|,mexico,2785,346
Panama,,,|,mexico,3181,396
Panama,,,|,mexico,3441,260
Panama,,,|,mexico,3844,403
