Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,36,,|,peru,1,-6847
Panama,43,7,|,peru,1,0
Panama,55,12,|,peru,6,5
Panama,69,14,|,peru,7,1
Panama,86,17,|,peru,11,4
Panama,109,23,|,peru,11,0
Panama,137,28,|,peru,15,4
Panama,200,63,|,peru,28,13
Panama,313,113,|,peru,38,10
Panama,345,32,|,peru,43,5
Panama,345,0,|,peru,86,43
Panama,443,98,|,peru,117,31
Panama,558,115,|,peru,145,28
Panama,674,116,|,peru,234,89
Panama,786,112,|,peru,234,0
Panama,901,115,|,peru,318,84
Panama,989,88,|,peru,363,45
Panama,1181,192,|,peru,395,32
Panama,1181,0,|,peru,416,21
Panama,1317,136,|,peru,480,64
Panama,1475,158,|,peru,580,100
Panama,1673,198,|,peru,635,55
Panama,1801,128,|,peru,671,36
Panama,1988,187,|,peru,852,181
Panama,2100,112,|,peru,950,98
Panama,2249,149,|,peru,1065,115
Panama,2528,279,|,peru,1323,258
Panama,2752,224,|,peru,1414,91
Panama,,,|,peru,1595,181
Panama,,,|,peru,1746,151
Panama,,,|,peru,2281,535
Panama,,,|,peru,2561,280
Panama,,,|,peru,2954,393
Panama,,,|,peru,4342,1388
Panama,,,|,peru,5256,914
Panama,,,|,peru,5897,641
Panama,,,|,peru,6848,951
