Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Panama,,,|,qatar,1,-2727
Panama,,,|,qatar,3,2
Panama,,,|,qatar,3,0
Panama,,,|,qatar,7,4
Panama,,,|,qatar,8,1
Panama,,,|,qatar,8,0
Panama,1,,|,qatar,8,0
Panama,8,7,|,qatar,8,0
Panama,11,3,|,qatar,15,7
Panama,27,16,|,qatar,18,3
Panama,36,9,|,qatar,24,6
Panama,43,7,|,qatar,262,238
Panama,55,12,|,qatar,262,0
Panama,69,14,|,qatar,320,58
Panama,86,17,|,qatar,337,17
Panama,109,23,|,qatar,401,64
Panama,137,28,|,qatar,439,38
Panama,200,63,|,qatar,439,0
Panama,313,113,|,qatar,452,13
Panama,345,32,|,qatar,460,8
Panama,345,0,|,qatar,470,10
Panama,443,98,|,qatar,481,11
Panama,558,115,|,qatar,494,13
Panama,674,116,|,qatar,501,7
Panama,786,112,|,qatar,526,25
Panama,901,115,|,qatar,537,11
Panama,989,88,|,qatar,549,12
Panama,1181,192,|,qatar,562,13
Panama,1181,0,|,qatar,590,28
Panama,1317,136,|,qatar,634,44
Panama,1475,158,|,qatar,693,59
Panama,1673,198,|,qatar,781,88
Panama,1801,128,|,qatar,835,54
Panama,1988,187,|,qatar,949,114
Panama,2100,112,|,qatar,1075,126
Panama,2249,149,|,qatar,1325,250
Panama,2528,279,|,qatar,1604,279
Panama,2752,224,|,qatar,1832,228
Panama,2974,222,|,qatar,2057,225
Panama,,,|,qatar,2210,153
Panama,,,|,qatar,2376,166
Panama,,,|,qatar,2512,136
Panama,,,|,qatar,2728,216
