Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,96,,|,bahrain,1,-1039
Paraguay,104,8,|,bahrain,23,22
Paraguay,113,9,|,bahrain,33,10
Paraguay,115,2,|,bahrain,33,0
Paraguay,119,4,|,bahrain,36,3
Paraguay,124,5,|,bahrain,41,5
Paraguay,129,5,|,bahrain,47,6
Paraguay,,,|,bahrain,49,2
Paraguay,,,|,bahrain,49,0
Paraguay,,,|,bahrain,52,3
Paraguay,,,|,bahrain,55,3
Paraguay,,,|,bahrain,60,5
Paraguay,,,|,bahrain,85,25
Paraguay,,,|,bahrain,85,0
Paraguay,,,|,bahrain,95,10
Paraguay,,,|,bahrain,110,15
Paraguay,,,|,bahrain,195,85
Paraguay,,,|,bahrain,195,0
Paraguay,,,|,bahrain,195,0
Paraguay,,,|,bahrain,210,15
Paraguay,,,|,bahrain,214,4
Paraguay,,,|,bahrain,214,0
Paraguay,,,|,bahrain,228,14
Paraguay,,,|,bahrain,256,28
Paraguay,,,|,bahrain,278,22
Paraguay,,,|,bahrain,285,7
Paraguay,,,|,bahrain,305,20
Paraguay,,,|,bahrain,334,29
Paraguay,,,|,bahrain,377,43
Paraguay,,,|,bahrain,392,15
Paraguay,,,|,bahrain,419,27
Paraguay,,,|,bahrain,458,39
Paraguay,,,|,bahrain,466,8
Paraguay,,,|,bahrain,476,10
Paraguay,,,|,bahrain,499,23
Paraguay,,,|,bahrain,515,16
Paraguay,,,|,bahrain,567,52
Paraguay,,,|,bahrain,569,2
Paraguay,,,|,bahrain,643,74
Paraguay,,,|,bahrain,672,29
Paraguay,,,|,bahrain,688,16
Paraguay,,,|,bahrain,700,12
Paraguay,,,|,bahrain,756,56
Paraguay,,,|,bahrain,811,55
Paraguay,,,|,bahrain,823,12
Paraguay,,,|,bahrain,887,64
Paraguay,,,|,bahrain,925,38
Paraguay,,,|,bahrain,1040,115
