Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,56,,|,brazil,1,-20726
Paraguay,59,3,|,brazil,1,0
Paraguay,64,5,|,brazil,1,0
Paraguay,65,1,|,brazil,2,1
Paraguay,69,4,|,brazil,2,0
Paraguay,77,8,|,brazil,2,0
Paraguay,92,15,|,brazil,2,0
Paraguay,96,4,|,brazil,4,2
Paraguay,104,8,|,brazil,4,0
Paraguay,113,9,|,brazil,13,9
Paraguay,115,2,|,brazil,13,0
Paraguay,119,4,|,brazil,20,7
Paraguay,124,5,|,brazil,25,5
Paraguay,129,5,|,brazil,31,6
Paraguay,,,|,brazil,38,7
Paraguay,,,|,brazil,52,14
Paraguay,,,|,brazil,151,99
Paraguay,,,|,brazil,151,0
Paraguay,,,|,brazil,162,11
Paraguay,,,|,brazil,200,38
Paraguay,,,|,brazil,321,121
Paraguay,,,|,brazil,372,51
Paraguay,,,|,brazil,621,249
Paraguay,,,|,brazil,793,172
Paraguay,,,|,brazil,1021,228
Paraguay,,,|,brazil,1546,525
Paraguay,,,|,brazil,1924,378
Paraguay,,,|,brazil,2247,323
Paraguay,,,|,brazil,2554,307
Paraguay,,,|,brazil,2985,431
Paraguay,,,|,brazil,3417,432
Paraguay,,,|,brazil,3904,487
Paraguay,,,|,brazil,4256,352
Paraguay,,,|,brazil,4579,323
Paraguay,,,|,brazil,5717,1138
Paraguay,,,|,brazil,6836,1119
Paraguay,,,|,brazil,8044,1208
Paraguay,,,|,brazil,9056,1012
Paraguay,,,|,brazil,10360,1304
Paraguay,,,|,brazil,11130,770
Paraguay,,,|,brazil,12161,1031
Paraguay,,,|,brazil,14034,1873
Paraguay,,,|,brazil,16170,2136
Paraguay,,,|,brazil,18092,1922
Paraguay,,,|,brazil,19638,1546
Paraguay,,,|,brazil,20727,1089
