Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,56,,|,brunei,1,-135
Paraguay,59,3,|,brunei,1,0
Paraguay,64,5,|,brunei,11,10
Paraguay,65,1,|,brunei,11,0
Paraguay,69,4,|,brunei,37,26
Paraguay,77,8,|,brunei,40,3
Paraguay,92,15,|,brunei,50,10
Paraguay,96,4,|,brunei,54,4
Paraguay,104,8,|,brunei,56,2
Paraguay,113,9,|,brunei,68,12
Paraguay,115,2,|,brunei,75,7
Paraguay,119,4,|,brunei,78,3
Paraguay,124,5,|,brunei,83,5
Paraguay,129,5,|,brunei,88,5
Paraguay,,,|,brunei,91,3
Paraguay,,,|,brunei,104,13
Paraguay,,,|,brunei,109,5
Paraguay,,,|,brunei,114,5
Paraguay,,,|,brunei,115,1
Paraguay,,,|,brunei,120,5
Paraguay,,,|,brunei,126,6
Paraguay,,,|,brunei,127,1
Paraguay,,,|,brunei,129,2
Paraguay,,,|,brunei,131,2
Paraguay,,,|,brunei,133,2
Paraguay,,,|,brunei,134,1
Paraguay,,,|,brunei,135,1
Paraguay,,,|,brunei,135,0
Paraguay,,,|,brunei,135,0
Paraguay,,,|,brunei,135,0
Paraguay,,,|,brunei,135,0
Paraguay,,,|,brunei,135,0
Paraguay,,,|,brunei,136,1
Paraguay,,,|,brunei,136,0
