Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,69,,|,mali,2,-85
Paraguay,77,8,|,mali,4,2
Paraguay,92,15,|,mali,11,7
Paraguay,96,4,|,mali,18,7
Paraguay,104,8,|,mali,18,0
Paraguay,113,9,|,mali,25,7
Paraguay,115,2,|,mali,28,3
Paraguay,119,4,|,mali,31,3
Paraguay,124,5,|,mali,36,5
Paraguay,129,5,|,mali,39,3
Paraguay,,,|,mali,41,2
Paraguay,,,|,mali,45,4
Paraguay,,,|,mali,47,2
Paraguay,,,|,mali,56,9
Paraguay,,,|,mali,59,3
Paraguay,,,|,mali,74,15
Paraguay,,,|,mali,87,13
Paraguay,,,|,mali,87,0
