Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,22,,|,rwanda,1,-119
Paraguay,22,0,|,rwanda,1,0
Paraguay,27,5,|,rwanda,5,4
Paraguay,37,10,|,rwanda,7,2
Paraguay,41,4,|,rwanda,8,1
Paraguay,52,11,|,rwanda,8,0
Paraguay,56,4,|,rwanda,17,9
Paraguay,59,3,|,rwanda,17,0
Paraguay,64,5,|,rwanda,19,2
Paraguay,65,1,|,rwanda,36,17
Paraguay,69,4,|,rwanda,40,4
Paraguay,77,8,|,rwanda,41,1
Paraguay,92,15,|,rwanda,50,9
Paraguay,96,4,|,rwanda,54,4
Paraguay,104,8,|,rwanda,60,6
Paraguay,113,9,|,rwanda,70,10
Paraguay,115,2,|,rwanda,70,0
Paraguay,119,4,|,rwanda,75,5
Paraguay,124,5,|,rwanda,82,7
Paraguay,129,5,|,rwanda,84,2
Paraguay,,,|,rwanda,89,5
Paraguay,,,|,rwanda,102,13
Paraguay,,,|,rwanda,104,2
Paraguay,,,|,rwanda,105,1
Paraguay,,,|,rwanda,105,0
Paraguay,,,|,rwanda,110,5
Paraguay,,,|,rwanda,110,0
Paraguay,,,|,rwanda,118,8
Paraguay,,,|,rwanda,120,2
