Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Paraguay,22,,|,trinidad-and-tobago,2,-110
Paraguay,27,5,|,trinidad-and-tobago,2,0
Paraguay,37,10,|,trinidad-and-tobago,4,2
Paraguay,41,4,|,trinidad-and-tobago,5,1
Paraguay,52,11,|,trinidad-and-tobago,7,2
Paraguay,56,4,|,trinidad-and-tobago,9,2
Paraguay,59,3,|,trinidad-and-tobago,9,0
Paraguay,64,5,|,trinidad-and-tobago,49,40
Paraguay,65,1,|,trinidad-and-tobago,50,1
Paraguay,69,4,|,trinidad-and-tobago,51,1
Paraguay,77,8,|,trinidad-and-tobago,57,6
Paraguay,92,15,|,trinidad-and-tobago,60,3
Paraguay,96,4,|,trinidad-and-tobago,65,5
Paraguay,104,8,|,trinidad-and-tobago,66,1
Paraguay,113,9,|,trinidad-and-tobago,74,8
Paraguay,115,2,|,trinidad-and-tobago,78,4
Paraguay,119,4,|,trinidad-and-tobago,82,4
Paraguay,124,5,|,trinidad-and-tobago,87,5
Paraguay,129,5,|,trinidad-and-tobago,90,3
Paraguay,,,|,trinidad-and-tobago,94,4
Paraguay,,,|,trinidad-and-tobago,98,4
Paraguay,,,|,trinidad-and-tobago,103,5
Paraguay,,,|,trinidad-and-tobago,104,1
Paraguay,,,|,trinidad-and-tobago,105,1
Paraguay,,,|,trinidad-and-tobago,107,2
Paraguay,,,|,trinidad-and-tobago,107,0
Paraguay,,,|,trinidad-and-tobago,109,2
Paraguay,,,|,trinidad-and-tobago,109,0
Paraguay,,,|,trinidad-and-tobago,112,3
