Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,112,,|,austria,2,-13804
Portugal,169,57,|,austria,2,0
Portugal,245,76,|,austria,3,1
Portugal,331,86,|,austria,3,0
Portugal,448,117,|,austria,9,6
Portugal,448,0,|,austria,14,5
Portugal,785,337,|,austria,18,4
Portugal,1020,235,|,austria,21,3
Portugal,1280,260,|,austria,29,8
Portugal,1600,320,|,austria,41,12
Portugal,2060,460,|,austria,55,14
Portugal,2362,302,|,austria,79,24
Portugal,2995,633,|,austria,104,25
Portugal,3544,549,|,austria,131,27
Portugal,4268,724,|,austria,182,51
Portugal,5170,902,|,austria,246,64
Portugal,5962,792,|,austria,302,56
Portugal,6408,446,|,austria,504,202
Portugal,7443,1035,|,austria,655,151
Portugal,8251,808,|,austria,860,205
Portugal,9034,783,|,austria,1018,158
Portugal,9886,852,|,austria,1332,314
Portugal,10524,638,|,austria,1646,314
Portugal,11278,754,|,austria,2013,367
Portugal,11730,452,|,austria,2388,375
Portugal,12442,712,|,austria,2814,426
Portugal,13141,699,|,austria,3582,768
Portugal,13956,815,|,austria,4474,892
Portugal,15472,1516,|,austria,5283,809
Portugal,,,|,austria,5588,305
Portugal,,,|,austria,6909,1321
Portugal,,,|,austria,7657,748
Portugal,,,|,austria,8271,614
Portugal,,,|,austria,8788,517
Portugal,,,|,austria,9618,830
Portugal,,,|,austria,10180,562
Portugal,,,|,austria,10711,531
Portugal,,,|,austria,11129,418
Portugal,,,|,austria,11524,395
Portugal,,,|,austria,11781,257
Portugal,,,|,austria,12051,270
Portugal,,,|,austria,12297,246
Portugal,,,|,austria,12639,342
Portugal,,,|,austria,12942,303
Portugal,,,|,austria,13244,302
Portugal,,,|,austria,13555,311
Portugal,,,|,austria,13806,251
