Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,,,|,belgium,1,-28017
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,,,|,belgium,1,0
Portugal,2,,|,belgium,1,0
Portugal,2,0,|,belgium,1,0
Portugal,5,3,|,belgium,1,0
Portugal,8,3,|,belgium,1,0
Portugal,13,5,|,belgium,1,0
Portugal,20,7,|,belgium,1,0
Portugal,30,10,|,belgium,1,0
Portugal,30,0,|,belgium,1,0
Portugal,41,11,|,belgium,1,0
Portugal,59,18,|,belgium,1,0
Portugal,59,0,|,belgium,1,0
Portugal,112,53,|,belgium,1,0
Portugal,169,57,|,belgium,1,0
Portugal,245,76,|,belgium,1,0
Portugal,331,86,|,belgium,2,1
Portugal,448,117,|,belgium,8,6
Portugal,448,0,|,belgium,13,5
Portugal,785,337,|,belgium,23,10
Portugal,1020,235,|,belgium,50,27
Portugal,1280,260,|,belgium,109,59
Portugal,1600,320,|,belgium,169,60
Portugal,2060,460,|,belgium,200,31
Portugal,2362,302,|,belgium,239,39
Portugal,2995,633,|,belgium,267,28
Portugal,3544,549,|,belgium,314,47
Portugal,4268,724,|,belgium,314,0
Portugal,5170,902,|,belgium,559,245
Portugal,5962,792,|,belgium,689,130
Portugal,6408,446,|,belgium,886,197
Portugal,7443,1035,|,belgium,1058,172
Portugal,8251,808,|,belgium,1243,185
Portugal,9034,783,|,belgium,1486,243
Portugal,9886,852,|,belgium,1795,309
Portugal,10524,638,|,belgium,2257,462
Portugal,11278,754,|,belgium,2815,558
Portugal,11730,452,|,belgium,3401,586
Portugal,12442,712,|,belgium,3743,342
Portugal,13141,699,|,belgium,4269,526
Portugal,13956,815,|,belgium,4937,668
Portugal,15472,1516,|,belgium,6235,1298
Portugal,15987,515,|,belgium,7284,1049
Portugal,,,|,belgium,9134,1850
Portugal,,,|,belgium,10836,1702
Portugal,,,|,belgium,11899,1063
Portugal,,,|,belgium,12775,876
Portugal,,,|,belgium,13964,1189
Portugal,,,|,belgium,15348,1384
Portugal,,,|,belgium,16770,1422
Portugal,,,|,belgium,18431,1661
Portugal,,,|,belgium,19691,1260
Portugal,,,|,belgium,20814,1123
Portugal,,,|,belgium,22194,1380
Portugal,,,|,belgium,23403,1209
Portugal,,,|,belgium,24983,1580
Portugal,,,|,belgium,26667,1684
Portugal,,,|,belgium,28018,1351
