Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,,,|,canada,1,-23315
Portugal,,,|,canada,1,0
Portugal,,,|,canada,2,1
Portugal,,,|,canada,2,0
Portugal,,,|,canada,2,0
Portugal,,,|,canada,4,2
Portugal,,,|,canada,4,0
Portugal,,,|,canada,4,0
Portugal,,,|,canada,4,0
Portugal,,,|,canada,4,0
Portugal,,,|,canada,5,1
Portugal,,,|,canada,5,0
Portugal,,,|,canada,7,2
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,,,|,canada,7,0
Portugal,2,,|,canada,7,0
Portugal,2,0,|,canada,8,1
Portugal,5,3,|,canada,8,0
Portugal,8,3,|,canada,8,0
Portugal,13,5,|,canada,8,0
Portugal,20,7,|,canada,9,1
Portugal,30,10,|,canada,9,0
Portugal,30,0,|,canada,9,0
Portugal,41,11,|,canada,10,1
Portugal,59,18,|,canada,11,1
Portugal,59,0,|,canada,11,0
Portugal,112,53,|,canada,13,2
Portugal,169,57,|,canada,14,1
Portugal,245,76,|,canada,20,6
Portugal,331,86,|,canada,24,4
Portugal,448,117,|,canada,27,3
Portugal,448,0,|,canada,30,3
Portugal,785,337,|,canada,33,3
Portugal,1020,235,|,canada,37,4
Portugal,1280,260,|,canada,49,12
Portugal,1600,320,|,canada,54,5
Portugal,2060,460,|,canada,64,10
Portugal,2362,302,|,canada,77,13
Portugal,2995,633,|,canada,79,2
Portugal,3544,549,|,canada,108,29
Portugal,4268,724,|,canada,117,9
Portugal,5170,902,|,canada,193,76
Portugal,5962,792,|,canada,198,5
Portugal,6408,446,|,canada,252,54
Portugal,7443,1035,|,canada,415,163
Portugal,8251,808,|,canada,478,63
Portugal,9034,783,|,canada,657,179
Portugal,9886,852,|,canada,800,143
Portugal,10524,638,|,canada,943,143
Portugal,11278,754,|,canada,1277,334
Portugal,11730,452,|,canada,1469,192
Portugal,12442,712,|,canada,2088,619
Portugal,13141,699,|,canada,2790,702
Portugal,13956,815,|,canada,3251,461
Portugal,15472,1516,|,canada,4042,791
Portugal,15987,515,|,canada,4682,640
Portugal,,,|,canada,5576,894
Portugal,,,|,canada,6280,704
Portugal,,,|,canada,7398,1118
Portugal,,,|,canada,8527,1129
Portugal,,,|,canada,9560,1033
Portugal,,,|,canada,11284,1724
Portugal,,,|,canada,12437,1153
Portugal,,,|,canada,12978,541
Portugal,,,|,canada,15756,2778
Portugal,,,|,canada,16563,807
Portugal,,,|,canada,17872,1309
Portugal,,,|,canada,19141,1269
Portugal,,,|,canada,20654,1513
Portugal,,,|,canada,22059,1405
Portugal,,,|,canada,23316,1257
