Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,,,|,india,1,-8445
Portugal,,,|,india,1,0
Portugal,,,|,india,1,0
Portugal,,,|,india,2,1
Portugal,,,|,india,3,1
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,,,|,india,3,0
Portugal,2,,|,india,3,0
Portugal,2,0,|,india,3,0
Portugal,5,3,|,india,3,0
Portugal,8,3,|,india,3,0
Portugal,13,5,|,india,5,2
Portugal,20,7,|,india,5,0
Portugal,30,10,|,india,28,23
Portugal,30,0,|,india,30,2
Portugal,41,11,|,india,31,1
Portugal,59,18,|,india,34,3
Portugal,59,0,|,india,39,5
Portugal,112,53,|,india,43,4
Portugal,169,57,|,india,56,13
Portugal,245,76,|,india,62,6
Portugal,331,86,|,india,73,11
Portugal,448,117,|,india,82,9
Portugal,448,0,|,india,102,20
Portugal,785,337,|,india,113,11
Portugal,1020,235,|,india,119,6
Portugal,1280,260,|,india,142,23
Portugal,1600,320,|,india,156,14
Portugal,2060,460,|,india,194,38
Portugal,2362,302,|,india,244,50
Portugal,2995,633,|,india,330,86
Portugal,3544,549,|,india,396,66
Portugal,4268,724,|,india,499,103
Portugal,5170,902,|,india,536,37
Portugal,5962,792,|,india,657,121
Portugal,6408,446,|,india,727,70
Portugal,7443,1035,|,india,887,160
Portugal,8251,808,|,india,987,100
Portugal,9034,783,|,india,1024,37
Portugal,9886,852,|,india,1251,227
Portugal,10524,638,|,india,1397,146
Portugal,11278,754,|,india,1998,601
Portugal,11730,452,|,india,2543,545
Portugal,12442,712,|,india,2567,24
Portugal,13141,699,|,india,3082,515
Portugal,13956,815,|,india,3588,506
Portugal,15472,1516,|,india,4778,1190
Portugal,15987,515,|,india,5311,533
Portugal,,,|,india,5916,605
Portugal,,,|,india,6725,809
Portugal,,,|,india,7598,873
Portugal,,,|,india,8446,848
