Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,2995,,|,iran,2,-70027
Portugal,3544,549,|,iran,5,3
Portugal,4268,724,|,iran,18,13
Portugal,5170,902,|,iran,28,10
Portugal,5962,792,|,iran,43,15
Portugal,6408,446,|,iran,61,18
Portugal,7443,1035,|,iran,95,34
Portugal,8251,808,|,iran,139,44
Portugal,9034,783,|,iran,245,106
Portugal,9886,852,|,iran,388,143
Portugal,10524,638,|,iran,593,205
Portugal,11278,754,|,iran,978,385
Portugal,11730,452,|,iran,1501,523
Portugal,12442,712,|,iran,2336,835
Portugal,13141,699,|,iran,2922,586
Portugal,13956,815,|,iran,3513,591
Portugal,15472,1516,|,iran,4747,1234
Portugal,,,|,iran,5823,1076
Portugal,,,|,iran,6566,743
Portugal,,,|,iran,7161,595
Portugal,,,|,iran,8042,881
Portugal,,,|,iran,9000,958
Portugal,,,|,iran,10075,1075
Portugal,,,|,iran,11364,1289
Portugal,,,|,iran,12729,1365
Portugal,,,|,iran,13938,1209
Portugal,,,|,iran,14991,1053
Portugal,,,|,iran,16169,1178
Portugal,,,|,iran,17361,1192
Portugal,,,|,iran,18407,1046
Portugal,,,|,iran,19644,1237
Portugal,,,|,iran,20610,966
Portugal,,,|,iran,21638,1028
Portugal,,,|,iran,23049,1411
Portugal,,,|,iran,24811,1762
Portugal,,,|,iran,27017,2206
Portugal,,,|,iran,29406,2389
Portugal,,,|,iran,32332,2926
Portugal,,,|,iran,35408,3076
Portugal,,,|,iran,38309,2901
Portugal,,,|,iran,41495,3186
Portugal,,,|,iran,44605,3110
Portugal,,,|,iran,47593,2988
Portugal,,,|,iran,50468,2875
Portugal,,,|,iran,53183,2715
Portugal,,,|,iran,55743,2560
Portugal,,,|,iran,58226,2483
Portugal,,,|,iran,60500,2274
Portugal,,,|,iran,62589,2089
Portugal,,,|,iran,64586,1997
Portugal,,,|,iran,66220,1634
Portugal,,,|,iran,68192,1972
Portugal,,,|,iran,70029,1837
