Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,8,,|,italy,2,-152269
Portugal,13,5,|,italy,2,0
Portugal,20,7,|,italy,2,0
Portugal,30,10,|,italy,2,0
Portugal,30,0,|,italy,2,0
Portugal,41,11,|,italy,2,0
Portugal,59,18,|,italy,2,0
Portugal,59,0,|,italy,3,1
Portugal,112,53,|,italy,3,0
Portugal,169,57,|,italy,3,0
Portugal,245,76,|,italy,3,0
Portugal,331,86,|,italy,3,0
Portugal,448,117,|,italy,3,0
Portugal,448,0,|,italy,3,0
Portugal,785,337,|,italy,3,0
Portugal,1020,235,|,italy,3,0
Portugal,1280,260,|,italy,3,0
Portugal,1600,320,|,italy,3,0
Portugal,2060,460,|,italy,3,0
Portugal,2362,302,|,italy,3,0
Portugal,2995,633,|,italy,3,0
Portugal,3544,549,|,italy,20,17
Portugal,4268,724,|,italy,62,42
Portugal,5170,902,|,italy,155,93
Portugal,5962,792,|,italy,229,74
Portugal,6408,446,|,italy,322,93
Portugal,7443,1035,|,italy,453,131
Portugal,8251,808,|,italy,655,202
Portugal,9034,783,|,italy,888,233
Portugal,9886,852,|,italy,1128,240
Portugal,10524,638,|,italy,1694,566
Portugal,11278,754,|,italy,2036,342
Portugal,11730,452,|,italy,2502,466
Portugal,12442,712,|,italy,3089,587
Portugal,13141,699,|,italy,3858,769
Portugal,13956,815,|,italy,4636,778
Portugal,15472,1516,|,italy,5883,1247
Portugal,,,|,italy,7375,1492
Portugal,,,|,italy,9172,1797
Portugal,,,|,italy,10149,977
Portugal,,,|,italy,12462,2313
Portugal,,,|,italy,12462,0
Portugal,,,|,italy,17660,5198
Portugal,,,|,italy,21157,3497
Portugal,,,|,italy,24747,3590
Portugal,,,|,italy,27980,3233
Portugal,,,|,italy,31506,3526
Portugal,,,|,italy,35713,4207
Portugal,,,|,italy,41035,5322
Portugal,,,|,italy,47021,5986
Portugal,,,|,italy,53578,6557
Portugal,,,|,italy,59138,5560
Portugal,,,|,italy,63927,4789
Portugal,,,|,italy,69176,5249
Portugal,,,|,italy,74386,5210
Portugal,,,|,italy,80589,6203
Portugal,,,|,italy,86498,5909
Portugal,,,|,italy,92472,5974
Portugal,,,|,italy,97689,5217
Portugal,,,|,italy,101739,4050
Portugal,,,|,italy,105792,4053
Portugal,,,|,italy,110574,4782
Portugal,,,|,italy,115242,4668
Portugal,,,|,italy,119827,4585
Portugal,,,|,italy,124632,4805
Portugal,,,|,italy,128948,4316
Portugal,,,|,italy,132547,3599
Portugal,,,|,italy,135586,3039
Portugal,,,|,italy,139422,3836
Portugal,,,|,italy,143626,4204
Portugal,,,|,italy,147577,3951
Portugal,,,|,italy,152271,4694
