Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,59,,|,netherlands,1,-24570
Portugal,112,53,|,netherlands,1,0
Portugal,169,57,|,netherlands,6,5
Portugal,245,76,|,netherlands,10,4
Portugal,331,86,|,netherlands,18,8
Portugal,448,117,|,netherlands,24,6
Portugal,448,0,|,netherlands,38,14
Portugal,785,337,|,netherlands,82,44
Portugal,1020,235,|,netherlands,128,46
Portugal,1280,260,|,netherlands,188,60
Portugal,1600,320,|,netherlands,265,77
Portugal,2060,460,|,netherlands,321,56
Portugal,2362,302,|,netherlands,382,61
Portugal,2995,633,|,netherlands,503,121
Portugal,3544,549,|,netherlands,503,0
Portugal,4268,724,|,netherlands,806,303
Portugal,5170,902,|,netherlands,962,156
Portugal,5962,792,|,netherlands,1138,176
Portugal,6408,446,|,netherlands,1416,278
Portugal,7443,1035,|,netherlands,1711,295
Portugal,8251,808,|,netherlands,2058,347
Portugal,9034,783,|,netherlands,2467,409
Portugal,9886,852,|,netherlands,3003,536
Portugal,10524,638,|,netherlands,3640,637
Portugal,11278,754,|,netherlands,4217,577
Portugal,11730,452,|,netherlands,4764,547
Portugal,12442,712,|,netherlands,5580,816
Portugal,13141,699,|,netherlands,6438,858
Portugal,13956,815,|,netherlands,7468,1030
Portugal,15472,1516,|,netherlands,8647,1179
Portugal,,,|,netherlands,9819,1172
Portugal,,,|,netherlands,10930,1111
Portugal,,,|,netherlands,11817,887
Portugal,,,|,netherlands,12667,850
Portugal,,,|,netherlands,13696,1029
Portugal,,,|,netherlands,14788,1092
Portugal,,,|,netherlands,15821,1033
Portugal,,,|,netherlands,16727,906
Portugal,,,|,netherlands,17953,1226
Portugal,,,|,netherlands,18926,973
Portugal,,,|,netherlands,19709,783
Portugal,,,|,netherlands,20682,973
Portugal,,,|,netherlands,21903,1221
Portugal,,,|,netherlands,23249,1346
Portugal,,,|,netherlands,24571,1322
