Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Portugal,,,|,russia,2,-13582
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,,,|,russia,2,0
Portugal,2,,|,russia,2,0
Portugal,2,0,|,russia,2,0
Portugal,5,3,|,russia,2,0
Portugal,8,3,|,russia,3,1
Portugal,13,5,|,russia,3,0
Portugal,20,7,|,russia,3,0
Portugal,30,10,|,russia,4,1
Portugal,30,0,|,russia,13,9
Portugal,41,11,|,russia,13,0
Portugal,59,18,|,russia,17,4
Portugal,59,0,|,russia,17,0
Portugal,112,53,|,russia,20,3
Portugal,169,57,|,russia,20,0
Portugal,245,76,|,russia,28,8
Portugal,331,86,|,russia,45,17
Portugal,448,117,|,russia,59,14
Portugal,448,0,|,russia,63,4
Portugal,785,337,|,russia,90,27
Portugal,1020,235,|,russia,114,24
Portugal,1280,260,|,russia,147,33
Portugal,1600,320,|,russia,199,52
Portugal,2060,460,|,russia,253,54
Portugal,2362,302,|,russia,306,53
Portugal,2995,633,|,russia,367,61
Portugal,3544,549,|,russia,438,71
Portugal,4268,724,|,russia,495,57
Portugal,5170,902,|,russia,658,163
Portugal,5962,792,|,russia,840,182
Portugal,6408,446,|,russia,1036,196
Portugal,7443,1035,|,russia,1264,228
Portugal,8251,808,|,russia,1534,270
Portugal,9034,783,|,russia,1836,302
Portugal,9886,852,|,russia,2337,501
Portugal,10524,638,|,russia,2777,440
Portugal,11278,754,|,russia,3548,771
Portugal,11730,452,|,russia,4149,601
Portugal,12442,712,|,russia,4731,582
Portugal,13141,699,|,russia,5389,658
Portugal,13956,815,|,russia,6343,954
Portugal,15472,1516,|,russia,7497,1154
Portugal,15987,515,|,russia,8672,1175
Portugal,,,|,russia,10131,1459
Portugal,,,|,russia,11917,1786
Portugal,,,|,russia,13584,1667
