Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,45,,|,brazil,1,-20726
Romania,49,4,|,brazil,1,0
Romania,89,40,|,brazil,1,0
Romania,123,34,|,brazil,2,1
Romania,131,8,|,brazil,2,0
Romania,158,27,|,brazil,2,0
Romania,184,26,|,brazil,2,0
Romania,260,76,|,brazil,4,2
Romania,277,17,|,brazil,4,0
Romania,308,31,|,brazil,13,9
Romania,367,59,|,brazil,13,0
Romania,433,66,|,brazil,20,7
Romania,576,143,|,brazil,25,5
Romania,794,218,|,brazil,31,6
Romania,906,112,|,brazil,38,7
Romania,1029,123,|,brazil,52,14
Romania,1292,263,|,brazil,151,99
Romania,1452,160,|,brazil,151,0
Romania,1815,363,|,brazil,162,11
Romania,2109,294,|,brazil,200,38
Romania,2245,136,|,brazil,321,121
Romania,2460,215,|,brazil,372,51
Romania,2738,278,|,brazil,621,249
Romania,3183,445,|,brazil,793,172
Romania,3613,430,|,brazil,1021,228
Romania,3864,251,|,brazil,1546,525
Romania,4057,193,|,brazil,1924,378
Romania,4417,360,|,brazil,2247,323
Romania,4761,344,|,brazil,2554,307
Romania,5202,441,|,brazil,2985,431
Romania,5467,265,|,brazil,3417,432
Romania,,,|,brazil,3904,487
Romania,,,|,brazil,4256,352
Romania,,,|,brazil,4579,323
Romania,,,|,brazil,5717,1138
Romania,,,|,brazil,6836,1119
Romania,,,|,brazil,8044,1208
Romania,,,|,brazil,9056,1012
Romania,,,|,brazil,10360,1304
Romania,,,|,brazil,11130,770
Romania,,,|,brazil,12161,1031
Romania,,,|,brazil,14034,1873
Romania,,,|,brazil,16170,2136
Romania,,,|,brazil,18092,1922
Romania,,,|,brazil,19638,1546
Romania,,,|,brazil,20727,1089
