Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,4,,|,chile,1,-6926
Romania,6,2,|,chile,1,0
Romania,9,3,|,chile,4,3
Romania,9,0,|,chile,4,0
Romania,15,6,|,chile,4,0
Romania,15,0,|,chile,8,4
Romania,25,10,|,chile,8,0
Romania,45,20,|,chile,13,5
Romania,49,4,|,chile,23,10
Romania,89,40,|,chile,23,0
Romania,123,34,|,chile,43,20
Romania,131,8,|,chile,61,18
Romania,158,27,|,chile,74,13
Romania,184,26,|,chile,155,81
Romania,260,76,|,chile,201,46
Romania,277,17,|,chile,238,37
Romania,308,31,|,chile,238,0
Romania,367,59,|,chile,434,196
Romania,433,66,|,chile,537,103
Romania,576,143,|,chile,632,95
Romania,794,218,|,chile,746,114
Romania,906,112,|,chile,922,176
Romania,1029,123,|,chile,1142,220
Romania,1292,263,|,chile,1306,164
Romania,1452,160,|,chile,1610,304
Romania,1815,363,|,chile,1909,299
Romania,2109,294,|,chile,2139,230
Romania,2245,136,|,chile,2449,310
Romania,2460,215,|,chile,2738,289
Romania,2738,278,|,chile,3031,293
Romania,3183,445,|,chile,3404,373
Romania,3613,430,|,chile,3737,333
Romania,3864,251,|,chile,4161,424
Romania,4057,193,|,chile,4471,310
Romania,4417,360,|,chile,4815,344
Romania,4761,344,|,chile,5116,301
Romania,5202,441,|,chile,5546,430
Romania,5467,265,|,chile,5972,426
Romania,,,|,chile,6501,529
Romania,,,|,chile,6927,426
