Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,4,,|,china,548,-82466
Romania,6,2,|,china,643,95
Romania,9,3,|,china,920,277
Romania,9,0,|,china,1406,486
Romania,15,6,|,china,2075,669
Romania,15,0,|,china,2877,802
Romania,25,10,|,china,5509,2632
Romania,45,20,|,china,6087,578
Romania,49,4,|,china,8141,2054
Romania,89,40,|,china,9802,1661
Romania,123,34,|,china,11891,2089
Romania,131,8,|,china,16630,4739
Romania,158,27,|,china,19716,3086
Romania,184,26,|,china,23707,3991
Romania,260,76,|,china,27440,3733
Romania,277,17,|,china,30587,3147
Romania,308,31,|,china,34110,3523
Romania,367,59,|,china,36814,2704
Romania,433,66,|,china,39829,3015
Romania,576,143,|,china,42354,2525
Romania,794,218,|,china,44386,2032
Romania,906,112,|,china,44759,373
Romania,1029,123,|,china,59895,15136
Romania,1292,263,|,china,66358,6463
Romania,1452,160,|,china,68413,2055
Romania,1815,363,|,china,70513,2100
Romania,2109,294,|,china,72434,1921
Romania,2245,136,|,china,74211,1777
Romania,2460,215,|,china,74619,408
Romania,2738,278,|,china,75077,458
Romania,3183,445,|,china,75550,473
Romania,3613,430,|,china,77001,1451
Romania,3864,251,|,china,77022,21
Romania,4057,193,|,china,77241,219
Romania,4417,360,|,china,77754,513
Romania,4761,344,|,china,78166,412
Romania,5202,441,|,china,78600,434
Romania,5467,265,|,china,78928,328
Romania,,,|,china,79356,428
Romania,,,|,china,79932,576
Romania,,,|,china,80136,204
Romania,,,|,china,80261,125
Romania,,,|,china,80386,125
Romania,,,|,china,80537,151
Romania,,,|,china,80690,153
Romania,,,|,china,80770,80
Romania,,,|,china,80823,53
Romania,,,|,china,80860,37
Romania,,,|,china,80887,27
Romania,,,|,china,80921,34
Romania,,,|,china,80932,11
Romania,,,|,china,80945,13
Romania,,,|,china,80977,32
Romania,,,|,china,81003,26
Romania,,,|,china,81033,30
Romania,,,|,china,81058,25
Romania,,,|,china,81102,44
Romania,,,|,china,81156,54
Romania,,,|,china,81250,94
Romania,,,|,china,81305,55
Romania,,,|,china,81435,130
Romania,,,|,china,81498,63
Romania,,,|,china,81591,93
Romania,,,|,china,81661,70
Romania,,,|,china,81782,121
Romania,,,|,china,81897,115
Romania,,,|,china,81999,102
Romania,,,|,china,82122,123
Romania,,,|,china,82198,76
Romania,,,|,china,82279,81
Romania,,,|,china,82361,82
Romania,,,|,china,82432,71
Romania,,,|,china,82511,79
Romania,,,|,china,82543,32
Romania,,,|,china,82602,59
Romania,,,|,china,82665,63
Romania,,,|,china,82718,53
Romania,,,|,china,82809,91
Romania,,,|,china,82883,74
Romania,,,|,china,82941,58
Romania,,,|,china,83014,73
