Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,3,,|,denmark,1,-6190
Romania,3,0,|,denmark,1,0
Romania,4,1,|,denmark,3,2
Romania,6,2,|,denmark,4,1
Romania,9,3,|,denmark,4,0
Romania,9,0,|,denmark,6,2
Romania,15,6,|,denmark,11,5
Romania,15,0,|,denmark,11,0
Romania,25,10,|,denmark,24,13
Romania,45,20,|,denmark,24,0
Romania,49,4,|,denmark,37,13
Romania,89,40,|,denmark,92,55
Romania,123,34,|,denmark,264,172
Romania,131,8,|,denmark,444,180
Romania,158,27,|,denmark,617,173
Romania,184,26,|,denmark,804,187
Romania,260,76,|,denmark,836,32
Romania,277,17,|,denmark,875,39
Romania,308,31,|,denmark,933,58
Romania,367,59,|,denmark,1025,92
Romania,433,66,|,denmark,1116,91
Romania,576,143,|,denmark,1225,109
Romania,794,218,|,denmark,1337,112
Romania,906,112,|,denmark,1420,83
Romania,1029,123,|,denmark,1514,94
Romania,1292,263,|,denmark,1572,58
Romania,1452,160,|,denmark,1718,146
Romania,1815,363,|,denmark,1862,144
Romania,2109,294,|,denmark,2023,161
Romania,2245,136,|,denmark,2200,177
Romania,2460,215,|,denmark,2366,166
Romania,2738,278,|,denmark,2564,198
Romania,3183,445,|,denmark,2755,191
Romania,3613,430,|,denmark,3039,284
Romania,3864,251,|,denmark,3290,251
Romania,4057,193,|,denmark,3573,283
Romania,4417,360,|,denmark,3946,373
Romania,4761,344,|,denmark,4269,323
Romania,5202,441,|,denmark,4561,292
Romania,5467,265,|,denmark,4875,314
Romania,,,|,denmark,5266,391
Romania,,,|,denmark,5597,331
Romania,,,|,denmark,5830,233
Romania,,,|,denmark,6014,184
Romania,,,|,denmark,6191,177
