Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,25,,|,italy,2,-152269
Romania,45,20,|,italy,2,0
Romania,49,4,|,italy,2,0
Romania,89,40,|,italy,2,0
Romania,123,34,|,italy,2,0
Romania,131,8,|,italy,2,0
Romania,158,27,|,italy,2,0
Romania,184,26,|,italy,3,1
Romania,260,76,|,italy,3,0
Romania,277,17,|,italy,3,0
Romania,308,31,|,italy,3,0
Romania,367,59,|,italy,3,0
Romania,433,66,|,italy,3,0
Romania,576,143,|,italy,3,0
Romania,794,218,|,italy,3,0
Romania,906,112,|,italy,3,0
Romania,1029,123,|,italy,3,0
Romania,1292,263,|,italy,3,0
Romania,1452,160,|,italy,3,0
Romania,1815,363,|,italy,3,0
Romania,2109,294,|,italy,3,0
Romania,2245,136,|,italy,20,17
Romania,2460,215,|,italy,62,42
Romania,2738,278,|,italy,155,93
Romania,3183,445,|,italy,229,74
Romania,3613,430,|,italy,322,93
Romania,3864,251,|,italy,453,131
Romania,4057,193,|,italy,655,202
Romania,4417,360,|,italy,888,233
Romania,4761,344,|,italy,1128,240
Romania,5202,441,|,italy,1694,566
Romania,5467,265,|,italy,2036,342
Romania,,,|,italy,2502,466
Romania,,,|,italy,3089,587
Romania,,,|,italy,3858,769
Romania,,,|,italy,4636,778
Romania,,,|,italy,5883,1247
Romania,,,|,italy,7375,1492
Romania,,,|,italy,9172,1797
Romania,,,|,italy,10149,977
Romania,,,|,italy,12462,2313
Romania,,,|,italy,12462,0
Romania,,,|,italy,17660,5198
Romania,,,|,italy,21157,3497
Romania,,,|,italy,24747,3590
Romania,,,|,italy,27980,3233
Romania,,,|,italy,31506,3526
Romania,,,|,italy,35713,4207
Romania,,,|,italy,41035,5322
Romania,,,|,italy,47021,5986
Romania,,,|,italy,53578,6557
Romania,,,|,italy,59138,5560
Romania,,,|,italy,63927,4789
Romania,,,|,italy,69176,5249
Romania,,,|,italy,74386,5210
Romania,,,|,italy,80589,6203
Romania,,,|,italy,86498,5909
Romania,,,|,italy,92472,5974
Romania,,,|,italy,97689,5217
Romania,,,|,italy,101739,4050
Romania,,,|,italy,105792,4053
Romania,,,|,italy,110574,4782
Romania,,,|,italy,115242,4668
Romania,,,|,italy,119827,4585
Romania,,,|,italy,124632,4805
Romania,,,|,italy,128948,4316
Romania,,,|,italy,132547,3599
Romania,,,|,italy,135586,3039
Romania,,,|,italy,139422,3836
Romania,,,|,italy,143626,4204
Romania,,,|,italy,147577,3951
Romania,,,|,italy,152271,4694
