Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,308,,|,netherlands,1,-24570
Romania,367,59,|,netherlands,1,0
Romania,433,66,|,netherlands,6,5
Romania,576,143,|,netherlands,10,4
Romania,794,218,|,netherlands,18,8
Romania,906,112,|,netherlands,24,6
Romania,1029,123,|,netherlands,38,14
Romania,1292,263,|,netherlands,82,44
Romania,1452,160,|,netherlands,128,46
Romania,1815,363,|,netherlands,188,60
Romania,2109,294,|,netherlands,265,77
Romania,2245,136,|,netherlands,321,56
Romania,2460,215,|,netherlands,382,61
Romania,2738,278,|,netherlands,503,121
Romania,3183,445,|,netherlands,503,0
Romania,3613,430,|,netherlands,806,303
Romania,3864,251,|,netherlands,962,156
Romania,4057,193,|,netherlands,1138,176
Romania,4417,360,|,netherlands,1416,278
Romania,4761,344,|,netherlands,1711,295
Romania,5202,441,|,netherlands,2058,347
Romania,5467,265,|,netherlands,2467,409
Romania,,,|,netherlands,3003,536
Romania,,,|,netherlands,3640,637
Romania,,,|,netherlands,4217,577
Romania,,,|,netherlands,4764,547
Romania,,,|,netherlands,5580,816
Romania,,,|,netherlands,6438,858
Romania,,,|,netherlands,7468,1030
Romania,,,|,netherlands,8647,1179
Romania,,,|,netherlands,9819,1172
Romania,,,|,netherlands,10930,1111
Romania,,,|,netherlands,11817,887
Romania,,,|,netherlands,12667,850
Romania,,,|,netherlands,13696,1029
Romania,,,|,netherlands,14788,1092
Romania,,,|,netherlands,15821,1033
Romania,,,|,netherlands,16727,906
Romania,,,|,netherlands,17953,1226
Romania,,,|,netherlands,18926,973
Romania,,,|,netherlands,19709,783
Romania,,,|,netherlands,20682,973
Romania,,,|,netherlands,21903,1221
Romania,,,|,netherlands,23249,1346
Romania,,,|,netherlands,24571,1322
