Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Romania,,,|,russia,2,-13582
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,,,|,russia,2,0
Romania,1,,|,russia,2,0
Romania,1,0,|,russia,2,0
Romania,3,2,|,russia,2,0
Romania,3,0,|,russia,2,0
Romania,3,0,|,russia,2,0
Romania,3,0,|,russia,2,0
Romania,3,0,|,russia,2,0
Romania,4,1,|,russia,2,0
Romania,6,2,|,russia,2,0
Romania,9,3,|,russia,2,0
Romania,9,0,|,russia,2,0
Romania,15,6,|,russia,2,0
Romania,15,0,|,russia,2,0
Romania,25,10,|,russia,2,0
Romania,45,20,|,russia,2,0
Romania,49,4,|,russia,2,0
Romania,89,40,|,russia,3,1
Romania,123,34,|,russia,3,0
Romania,131,8,|,russia,3,0
Romania,158,27,|,russia,4,1
Romania,184,26,|,russia,13,9
Romania,260,76,|,russia,13,0
Romania,277,17,|,russia,17,4
Romania,308,31,|,russia,17,0
Romania,367,59,|,russia,20,3
Romania,433,66,|,russia,20,0
Romania,576,143,|,russia,28,8
Romania,794,218,|,russia,45,17
Romania,906,112,|,russia,59,14
Romania,1029,123,|,russia,63,4
Romania,1292,263,|,russia,90,27
Romania,1452,160,|,russia,114,24
Romania,1815,363,|,russia,147,33
Romania,2109,294,|,russia,199,52
Romania,2245,136,|,russia,253,54
Romania,2460,215,|,russia,306,53
Romania,2738,278,|,russia,367,61
Romania,3183,445,|,russia,438,71
Romania,3613,430,|,russia,495,57
Romania,3864,251,|,russia,658,163
Romania,4057,193,|,russia,840,182
Romania,4417,360,|,russia,1036,196
Romania,4761,344,|,russia,1264,228
Romania,5202,441,|,russia,1534,270
Romania,5467,265,|,russia,1836,302
Romania,5990,523,|,russia,2337,501
Romania,,,|,russia,2777,440
Romania,,,|,russia,3548,771
Romania,,,|,russia,4149,601
Romania,,,|,russia,4731,582
Romania,,,|,russia,5389,658
Romania,,,|,russia,6343,954
Romania,,,|,russia,7497,1154
Romania,,,|,russia,8672,1175
Romania,,,|,russia,10131,1459
Romania,,,|,russia,11917,1786
Romania,,,|,russia,13584,1667
