Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,2,,|,brazil,1,-20726
Russian Federation,2,0,|,brazil,1,0
Russian Federation,3,1,|,brazil,1,0
Russian Federation,3,0,|,brazil,2,1
Russian Federation,3,0,|,brazil,2,0
Russian Federation,4,1,|,brazil,2,0
Russian Federation,13,9,|,brazil,2,0
Russian Federation,13,0,|,brazil,4,2
Russian Federation,17,4,|,brazil,4,0
Russian Federation,17,0,|,brazil,13,9
Russian Federation,20,3,|,brazil,13,0
Russian Federation,20,0,|,brazil,20,7
Russian Federation,28,8,|,brazil,25,5
Russian Federation,45,17,|,brazil,31,6
Russian Federation,59,14,|,brazil,38,7
Russian Federation,63,4,|,brazil,52,14
Russian Federation,90,27,|,brazil,151,99
Russian Federation,114,24,|,brazil,151,0
Russian Federation,147,33,|,brazil,162,11
Russian Federation,199,52,|,brazil,200,38
Russian Federation,253,54,|,brazil,321,121
Russian Federation,306,53,|,brazil,372,51
Russian Federation,367,61,|,brazil,621,249
Russian Federation,438,71,|,brazil,793,172
Russian Federation,495,57,|,brazil,1021,228
Russian Federation,658,163,|,brazil,1546,525
Russian Federation,840,182,|,brazil,1924,378
Russian Federation,1036,196,|,brazil,2247,323
Russian Federation,1264,228,|,brazil,2554,307
Russian Federation,1534,270,|,brazil,2985,431
Russian Federation,1836,302,|,brazil,3417,432
Russian Federation,2337,501,|,brazil,3904,487
Russian Federation,2777,440,|,brazil,4256,352
Russian Federation,3548,771,|,brazil,4579,323
Russian Federation,4149,601,|,brazil,5717,1138
Russian Federation,4731,582,|,brazil,6836,1119
Russian Federation,5389,658,|,brazil,8044,1208
Russian Federation,6343,954,|,brazil,9056,1012
Russian Federation,7497,1154,|,brazil,10360,1304
Russian Federation,8672,1175,|,brazil,11130,770
Russian Federation,10131,1459,|,brazil,12161,1031
Russian Federation,11917,1786,|,brazil,14034,1873
Russian Federation,,,|,brazil,16170,2136
Russian Federation,,,|,brazil,18092,1922
Russian Federation,,,|,brazil,19638,1546
Russian Federation,,,|,brazil,20727,1089
