Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,2,,|,canada,1,-23315
Russian Federation,2,0,|,canada,1,0
Russian Federation,2,0,|,canada,2,1
Russian Federation,2,0,|,canada,2,0
Russian Federation,2,0,|,canada,2,0
Russian Federation,2,0,|,canada,4,2
Russian Federation,2,0,|,canada,4,0
Russian Federation,2,0,|,canada,4,0
Russian Federation,2,0,|,canada,4,0
Russian Federation,2,0,|,canada,4,0
Russian Federation,2,0,|,canada,5,1
Russian Federation,2,0,|,canada,5,0
Russian Federation,2,0,|,canada,7,2
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,7,0
Russian Federation,2,0,|,canada,8,1
Russian Federation,2,0,|,canada,8,0
Russian Federation,2,0,|,canada,8,0
Russian Federation,2,0,|,canada,8,0
Russian Federation,2,0,|,canada,9,1
Russian Federation,2,0,|,canada,9,0
Russian Federation,3,1,|,canada,9,0
Russian Federation,3,0,|,canada,10,1
Russian Federation,3,0,|,canada,11,1
Russian Federation,4,1,|,canada,11,0
Russian Federation,13,9,|,canada,13,2
Russian Federation,13,0,|,canada,14,1
Russian Federation,17,4,|,canada,20,6
Russian Federation,17,0,|,canada,24,4
Russian Federation,20,3,|,canada,27,3
Russian Federation,20,0,|,canada,30,3
Russian Federation,28,8,|,canada,33,3
Russian Federation,45,17,|,canada,37,4
Russian Federation,59,14,|,canada,49,12
Russian Federation,63,4,|,canada,54,5
Russian Federation,90,27,|,canada,64,10
Russian Federation,114,24,|,canada,77,13
Russian Federation,147,33,|,canada,79,2
Russian Federation,199,52,|,canada,108,29
Russian Federation,253,54,|,canada,117,9
Russian Federation,306,53,|,canada,193,76
Russian Federation,367,61,|,canada,198,5
Russian Federation,438,71,|,canada,252,54
Russian Federation,495,57,|,canada,415,163
Russian Federation,658,163,|,canada,478,63
Russian Federation,840,182,|,canada,657,179
Russian Federation,1036,196,|,canada,800,143
Russian Federation,1264,228,|,canada,943,143
Russian Federation,1534,270,|,canada,1277,334
Russian Federation,1836,302,|,canada,1469,192
Russian Federation,2337,501,|,canada,2088,619
Russian Federation,2777,440,|,canada,2790,702
Russian Federation,3548,771,|,canada,3251,461
Russian Federation,4149,601,|,canada,4042,791
Russian Federation,4731,582,|,canada,4682,640
Russian Federation,5389,658,|,canada,5576,894
Russian Federation,6343,954,|,canada,6280,704
Russian Federation,7497,1154,|,canada,7398,1118
Russian Federation,8672,1175,|,canada,8527,1129
Russian Federation,10131,1459,|,canada,9560,1033
Russian Federation,11917,1786,|,canada,11284,1724
Russian Federation,,,|,canada,12437,1153
Russian Federation,,,|,canada,12978,541
Russian Federation,,,|,canada,15756,2778
Russian Federation,,,|,canada,16563,807
Russian Federation,,,|,canada,17872,1309
Russian Federation,,,|,canada,19141,1269
Russian Federation,,,|,canada,20654,1513
Russian Federation,,,|,canada,22059,1405
Russian Federation,,,|,canada,23316,1257
