Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,2,,|,france,2,-130725
Russian Federation,2,0,|,france,3,1
Russian Federation,2,0,|,france,3,0
Russian Federation,2,0,|,france,3,0
Russian Federation,2,0,|,france,4,1
Russian Federation,2,0,|,france,5,1
Russian Federation,2,0,|,france,5,0
Russian Federation,2,0,|,france,5,0
Russian Federation,2,0,|,france,6,1
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,6,0
Russian Federation,2,0,|,france,11,5
Russian Federation,2,0,|,france,11,0
Russian Federation,2,0,|,france,11,0
Russian Federation,3,1,|,france,11,0
Russian Federation,3,0,|,france,11,0
Russian Federation,3,0,|,france,11,0
Russian Federation,4,1,|,france,11,0
Russian Federation,13,9,|,france,12,1
Russian Federation,13,0,|,france,12,0
Russian Federation,17,4,|,france,12,0
Russian Federation,17,0,|,france,12,0
Russian Federation,20,3,|,france,12,0
Russian Federation,20,0,|,france,12,0
Russian Federation,28,8,|,france,12,0
Russian Federation,45,17,|,france,12,0
Russian Federation,59,14,|,france,12,0
Russian Federation,63,4,|,france,12,0
Russian Federation,90,27,|,france,14,2
Russian Federation,114,24,|,france,18,4
Russian Federation,147,33,|,france,38,20
Russian Federation,199,52,|,france,57,19
Russian Federation,253,54,|,france,100,43
Russian Federation,306,53,|,france,130,30
Russian Federation,367,61,|,france,191,61
Russian Federation,438,71,|,france,204,13
Russian Federation,495,57,|,france,288,84
Russian Federation,658,163,|,france,380,92
Russian Federation,840,182,|,france,656,276
Russian Federation,1036,196,|,france,959,303
Russian Federation,1264,228,|,france,1136,177
Russian Federation,1534,270,|,france,1219,83
Russian Federation,1836,302,|,france,1794,575
Russian Federation,2337,501,|,france,2293,499
Russian Federation,2777,440,|,france,2293,0
Russian Federation,3548,771,|,france,3681,1388
Russian Federation,4149,601,|,france,4496,815
Russian Federation,4731,582,|,france,4532,36
Russian Federation,5389,658,|,france,6683,2151
Russian Federation,6343,954,|,france,7715,1032
Russian Federation,7497,1154,|,france,9124,1409
Russian Federation,8672,1175,|,france,10970,1846
Russian Federation,10131,1459,|,france,12758,1788
Russian Federation,11917,1786,|,france,14463,1705
Russian Federation,,,|,france,16243,1780
Russian Federation,,,|,france,20123,3880
Russian Federation,,,|,france,22622,2499
Russian Federation,,,|,france,25600,2978
Russian Federation,,,|,france,29551,3951
Russian Federation,,,|,france,33402,3851
Russian Federation,,,|,france,38105,4703
Russian Federation,,,|,france,40708,2603
Russian Federation,,,|,france,45170,4462
Russian Federation,,,|,france,52827,7657
Russian Federation,,,|,france,57749,4922
Russian Federation,,,|,france,59929,2180
Russian Federation,,,|,france,65202,5273
Russian Federation,,,|,france,90848,25646
Russian Federation,,,|,france,93773,2925
Russian Federation,,,|,france,98963,5190
Russian Federation,,,|,france,110065,11102
Russian Federation,,,|,france,113959,3894
Russian Federation,,,|,france,118781,4822
Russian Federation,,,|,france,125931,7150
Russian Federation,,,|,france,130727,4796
