Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,2,,|,germany,1,-124907
Russian Federation,2,0,|,germany,4,3
Russian Federation,2,0,|,germany,4,0
Russian Federation,2,0,|,germany,4,0
Russian Federation,2,0,|,germany,5,1
Russian Federation,2,0,|,germany,8,3
Russian Federation,2,0,|,germany,10,2
Russian Federation,2,0,|,germany,12,2
Russian Federation,2,0,|,germany,12,0
Russian Federation,2,0,|,germany,12,0
Russian Federation,3,1,|,germany,12,0
Russian Federation,3,0,|,germany,13,1
Russian Federation,3,0,|,germany,13,0
Russian Federation,4,1,|,germany,14,1
Russian Federation,13,9,|,germany,14,0
Russian Federation,13,0,|,germany,16,2
Russian Federation,17,4,|,germany,16,0
Russian Federation,17,0,|,germany,16,0
Russian Federation,20,3,|,germany,16,0
Russian Federation,20,0,|,germany,16,0
Russian Federation,28,8,|,germany,16,0
Russian Federation,45,17,|,germany,16,0
Russian Federation,59,14,|,germany,16,0
Russian Federation,63,4,|,germany,16,0
Russian Federation,90,27,|,germany,16,0
Russian Federation,114,24,|,germany,16,0
Russian Federation,147,33,|,germany,16,0
Russian Federation,199,52,|,germany,16,0
Russian Federation,253,54,|,germany,16,0
Russian Federation,306,53,|,germany,17,1
Russian Federation,367,61,|,germany,27,10
Russian Federation,438,71,|,germany,46,19
Russian Federation,495,57,|,germany,48,2
Russian Federation,658,163,|,germany,79,31
Russian Federation,840,182,|,germany,130,51
Russian Federation,1036,196,|,germany,159,29
Russian Federation,1264,228,|,germany,196,37
Russian Federation,1534,270,|,germany,262,66
Russian Federation,1836,302,|,germany,482,220
Russian Federation,2337,501,|,germany,670,188
Russian Federation,2777,440,|,germany,799,129
Russian Federation,3548,771,|,germany,1040,241
Russian Federation,4149,601,|,germany,1176,136
Russian Federation,4731,582,|,germany,1457,281
Russian Federation,5389,658,|,germany,1908,451
Russian Federation,6343,954,|,germany,2078,170
Russian Federation,7497,1154,|,germany,3675,1597
Russian Federation,8672,1175,|,germany,4585,910
Russian Federation,10131,1459,|,germany,5795,1210
Russian Federation,11917,1786,|,germany,7272,1477
Russian Federation,,,|,germany,9257,1985
Russian Federation,,,|,germany,12327,3070
Russian Federation,,,|,germany,15320,2993
Russian Federation,,,|,germany,19848,4528
Russian Federation,,,|,germany,22213,2365
Russian Federation,,,|,germany,24873,2660
Russian Federation,,,|,germany,29056,4183
Russian Federation,,,|,germany,32986,3930
Russian Federation,,,|,germany,37323,4337
Russian Federation,,,|,germany,43938,6615
Russian Federation,,,|,germany,50871,6933
Russian Federation,,,|,germany,57695,6824
Russian Federation,,,|,germany,62095,4400
Russian Federation,,,|,germany,66885,4790
Russian Federation,,,|,germany,71808,4923
Russian Federation,,,|,germany,77872,6064
Russian Federation,,,|,germany,84794,6922
Russian Federation,,,|,germany,91159,6365
Russian Federation,,,|,germany,96092,4933
Russian Federation,,,|,germany,100123,4031
Russian Federation,,,|,germany,103374,3251
Russian Federation,,,|,germany,107663,4289
Russian Federation,,,|,germany,113296,5633
Russian Federation,,,|,germany,118181,4885
Russian Federation,,,|,germany,122171,3990
Russian Federation,,,|,germany,124908,2737
