Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,20,,|,netherlands,1,-24570
Russian Federation,20,0,|,netherlands,1,0
Russian Federation,28,8,|,netherlands,6,5
Russian Federation,45,17,|,netherlands,10,4
Russian Federation,59,14,|,netherlands,18,8
Russian Federation,63,4,|,netherlands,24,6
Russian Federation,90,27,|,netherlands,38,14
Russian Federation,114,24,|,netherlands,82,44
Russian Federation,147,33,|,netherlands,128,46
Russian Federation,199,52,|,netherlands,188,60
Russian Federation,253,54,|,netherlands,265,77
Russian Federation,306,53,|,netherlands,321,56
Russian Federation,367,61,|,netherlands,382,61
Russian Federation,438,71,|,netherlands,503,121
Russian Federation,495,57,|,netherlands,503,0
Russian Federation,658,163,|,netherlands,806,303
Russian Federation,840,182,|,netherlands,962,156
Russian Federation,1036,196,|,netherlands,1138,176
Russian Federation,1264,228,|,netherlands,1416,278
Russian Federation,1534,270,|,netherlands,1711,295
Russian Federation,1836,302,|,netherlands,2058,347
Russian Federation,2337,501,|,netherlands,2467,409
Russian Federation,2777,440,|,netherlands,3003,536
Russian Federation,3548,771,|,netherlands,3640,637
Russian Federation,4149,601,|,netherlands,4217,577
Russian Federation,4731,582,|,netherlands,4764,547
Russian Federation,5389,658,|,netherlands,5580,816
Russian Federation,6343,954,|,netherlands,6438,858
Russian Federation,7497,1154,|,netherlands,7468,1030
Russian Federation,8672,1175,|,netherlands,8647,1179
Russian Federation,10131,1459,|,netherlands,9819,1172
Russian Federation,11917,1786,|,netherlands,10930,1111
Russian Federation,,,|,netherlands,11817,887
Russian Federation,,,|,netherlands,12667,850
Russian Federation,,,|,netherlands,13696,1029
Russian Federation,,,|,netherlands,14788,1092
Russian Federation,,,|,netherlands,15821,1033
Russian Federation,,,|,netherlands,16727,906
Russian Federation,,,|,netherlands,17953,1226
Russian Federation,,,|,netherlands,18926,973
Russian Federation,,,|,netherlands,19709,783
Russian Federation,,,|,netherlands,20682,973
Russian Federation,,,|,netherlands,21903,1221
Russian Federation,,,|,netherlands,23249,1346
Russian Federation,,,|,netherlands,24571,1322
