Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,438,,|,turkey,1,-52166
Russian Federation,495,57,|,turkey,1,0
Russian Federation,658,163,|,turkey,5,4
Russian Federation,840,182,|,turkey,5,0
Russian Federation,1036,196,|,turkey,6,1
Russian Federation,1264,228,|,turkey,18,12
Russian Federation,1534,270,|,turkey,47,29
Russian Federation,1836,302,|,turkey,98,51
Russian Federation,2337,501,|,turkey,192,94
Russian Federation,2777,440,|,turkey,359,167
Russian Federation,3548,771,|,turkey,670,311
Russian Federation,4149,601,|,turkey,1236,566
Russian Federation,4731,582,|,turkey,1529,293
Russian Federation,5389,658,|,turkey,1872,343
Russian Federation,6343,954,|,turkey,2433,561
Russian Federation,7497,1154,|,turkey,3629,1196
Russian Federation,8672,1175,|,turkey,5698,2069
Russian Federation,10131,1459,|,turkey,7402,1704
Russian Federation,11917,1786,|,turkey,9217,1815
Russian Federation,,,|,turkey,10827,1610
Russian Federation,,,|,turkey,13531,2704
Russian Federation,,,|,turkey,15679,2148
Russian Federation,,,|,turkey,18135,2456
Russian Federation,,,|,turkey,20921,2786
Russian Federation,,,|,turkey,23934,3013
Russian Federation,,,|,turkey,27069,3135
Russian Federation,,,|,turkey,30217,3148
Russian Federation,,,|,turkey,34109,3892
Russian Federation,,,|,turkey,38226,4117
Russian Federation,,,|,turkey,42282,4056
Russian Federation,,,|,turkey,47029,4747
Russian Federation,,,|,turkey,52167,5138
