Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Russian Federation,2,,|,united-states,1,-526390
Russian Federation,2,0,|,united-states,2,1
Russian Federation,2,0,|,united-states,2,0
Russian Federation,2,0,|,united-states,5,3
Russian Federation,2,0,|,united-states,5,0
Russian Federation,2,0,|,united-states,5,0
Russian Federation,2,0,|,united-states,5,0
Russian Federation,2,0,|,united-states,5,0
Russian Federation,2,0,|,united-states,7,2
Russian Federation,2,0,|,united-states,8,1
Russian Federation,2,0,|,united-states,8,0
Russian Federation,2,0,|,united-states,11,3
Russian Federation,2,0,|,united-states,11,0
Russian Federation,2,0,|,united-states,11,0
Russian Federation,2,0,|,united-states,11,0
Russian Federation,3,1,|,united-states,11,0
Russian Federation,3,0,|,united-states,11,0
Russian Federation,3,0,|,united-states,11,0
Russian Federation,4,1,|,united-states,11,0
Russian Federation,13,9,|,united-states,12,1
Russian Federation,13,0,|,united-states,12,0
Russian Federation,17,4,|,united-states,13,1
Russian Federation,17,0,|,united-states,13,0
Russian Federation,20,3,|,united-states,13,0
Russian Federation,20,0,|,united-states,13,0
Russian Federation,28,8,|,united-states,13,0
Russian Federation,45,17,|,united-states,13,0
Russian Federation,59,14,|,united-states,13,0
Russian Federation,63,4,|,united-states,13,0
Russian Federation,90,27,|,united-states,15,2
Russian Federation,114,24,|,united-states,15,0
Russian Federation,147,33,|,united-states,15,0
Russian Federation,199,52,|,united-states,15,0
Russian Federation,253,54,|,united-states,15,0
Russian Federation,306,53,|,united-states,15,0
Russian Federation,367,61,|,united-states,16,1
Russian Federation,438,71,|,united-states,16,0
Russian Federation,495,57,|,united-states,24,8
Russian Federation,658,163,|,united-states,30,6
Russian Federation,840,182,|,united-states,53,23
Russian Federation,1036,196,|,united-states,73,20
Russian Federation,1264,228,|,united-states,104,31
Russian Federation,1534,270,|,united-states,172,68
Russian Federation,1836,302,|,united-states,217,45
Russian Federation,2337,501,|,united-states,336,119
Russian Federation,2777,440,|,united-states,450,114
Russian Federation,3548,771,|,united-states,514,64
Russian Federation,4149,601,|,united-states,708,194
Russian Federation,4731,582,|,united-states,1105,397
Russian Federation,5389,658,|,united-states,1557,452
Russian Federation,6343,954,|,united-states,2147,590
Russian Federation,7497,1154,|,united-states,2857,710
Russian Federation,8672,1175,|,united-states,2918,61
Russian Federation,10131,1459,|,united-states,4307,1389
Russian Federation,11917,1786,|,united-states,6096,1789
Russian Federation,,,|,united-states,8873,2777
Russian Federation,,,|,united-states,14024,5151
Russian Federation,,,|,united-states,19230,5206
Russian Federation,,,|,united-states,25627,6397
Russian Federation,,,|,united-states,33621,7994
Russian Federation,,,|,united-states,43663,10042
Russian Federation,,,|,united-states,53736,10073
Russian Federation,,,|,united-states,65778,12042
Russian Federation,,,|,united-states,83836,18058
Russian Federation,,,|,united-states,101657,17821
Russian Federation,,,|,united-states,121478,19821
Russian Federation,,,|,united-states,140886,19408
Russian Federation,,,|,united-states,161807,20921
Russian Federation,,,|,united-states,188172,26365
Russian Federation,,,|,united-states,213362,25190
Russian Federation,,,|,united-states,243453,30091
Russian Federation,,,|,united-states,275582,32129
Russian Federation,,,|,united-states,337065,61483
Russian Federation,,,|,united-states,366607,29542
Russian Federation,,,|,united-states,396221,29614
Russian Federation,,,|,united-states,429047,32826
Russian Federation,,,|,united-states,461432,32385
Russian Federation,,,|,united-states,496530,35098
Russian Federation,,,|,united-states,526391,29861
