Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,australia,4,-6299
Serbia,,,|,australia,5,1
Serbia,,,|,australia,5,0
Serbia,,,|,australia,6,1
Serbia,,,|,australia,9,3
Serbia,,,|,australia,9,0
Serbia,,,|,australia,12,3
Serbia,,,|,australia,12,0
Serbia,,,|,australia,12,0
Serbia,,,|,australia,13,1
Serbia,,,|,australia,13,0
Serbia,,,|,australia,14,1
Serbia,,,|,australia,15,1
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,15,0
Serbia,,,|,australia,25,10
Serbia,1,,|,australia,27,2
Serbia,1,0,|,australia,30,3
Serbia,1,0,|,australia,39,9
Serbia,1,0,|,australia,52,13
Serbia,5,4,|,australia,55,3
Serbia,12,7,|,australia,60,5
Serbia,19,7,|,australia,63,3
Serbia,35,16,|,australia,76,13
Serbia,46,11,|,australia,91,15
Serbia,48,2,|,australia,107,16
Serbia,55,7,|,australia,128,21
Serbia,65,10,|,australia,128,0
Serbia,83,18,|,australia,200,72
Serbia,103,20,|,australia,250,50
Serbia,135,32,|,australia,297,47
Serbia,171,36,|,australia,377,80
Serbia,222,51,|,australia,452,75
Serbia,249,27,|,australia,568,116
Serbia,303,54,|,australia,681,113
Serbia,384,81,|,australia,791,110
Serbia,384,0,|,australia,1071,280
Serbia,457,73,|,australia,1549,478
Serbia,659,202,|,australia,1682,133
Serbia,741,82,|,australia,2044,362
Serbia,785,44,|,australia,2364,320
Serbia,900,115,|,australia,2810,446
Serbia,1060,160,|,australia,3143,333
Serbia,1171,111,|,australia,3640,497
Serbia,1476,305,|,australia,3984,344
Serbia,1624,148,|,australia,4361,377
Serbia,1908,284,|,australia,4559,198
Serbia,2200,292,|,australia,4862,303
Serbia,2447,247,|,australia,5116,254
Serbia,2666,219,|,australia,5330,214
Serbia,2867,201,|,australia,5550,220
Serbia,3105,238,|,australia,5687,137
Serbia,3380,275,|,australia,5797,110
Serbia,,,|,australia,5895,98
Serbia,,,|,australia,6010,115
Serbia,,,|,australia,6108,98
Serbia,,,|,australia,6215,107
Serbia,,,|,australia,6303,88
