Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,austria,2,-13804
Serbia,,,|,austria,2,0
Serbia,,,|,austria,3,1
Serbia,,,|,austria,3,0
Serbia,,,|,austria,9,6
Serbia,,,|,austria,14,5
Serbia,,,|,austria,18,4
Serbia,,,|,austria,21,3
Serbia,1,,|,austria,29,8
Serbia,1,0,|,austria,41,12
Serbia,1,0,|,austria,55,14
Serbia,1,0,|,austria,79,24
Serbia,5,4,|,austria,104,25
Serbia,12,7,|,austria,131,27
Serbia,19,7,|,austria,182,51
Serbia,35,16,|,austria,246,64
Serbia,46,11,|,austria,302,56
Serbia,48,2,|,austria,504,202
Serbia,55,7,|,austria,655,151
Serbia,65,10,|,austria,860,205
Serbia,83,18,|,austria,1018,158
Serbia,103,20,|,austria,1332,314
Serbia,135,32,|,austria,1646,314
Serbia,171,36,|,austria,2013,367
Serbia,222,51,|,austria,2388,375
Serbia,249,27,|,austria,2814,426
Serbia,303,54,|,austria,3582,768
Serbia,384,81,|,austria,4474,892
Serbia,384,0,|,austria,5283,809
Serbia,457,73,|,austria,5588,305
Serbia,659,202,|,austria,6909,1321
Serbia,741,82,|,austria,7657,748
Serbia,785,44,|,austria,8271,614
Serbia,900,115,|,austria,8788,517
Serbia,1060,160,|,austria,9618,830
Serbia,1171,111,|,austria,10180,562
Serbia,1476,305,|,austria,10711,531
Serbia,1624,148,|,austria,11129,418
Serbia,1908,284,|,austria,11524,395
Serbia,2200,292,|,austria,11781,257
Serbia,2447,247,|,austria,12051,270
Serbia,2666,219,|,austria,12297,246
Serbia,2867,201,|,austria,12639,342
Serbia,3105,238,|,austria,12942,303
Serbia,3380,275,|,austria,13244,302
Serbia,,,|,austria,13555,311
Serbia,,,|,austria,13806,251
