Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,belgium,1,-28017
Serbia,,,|,belgium,1,0
Serbia,,,|,belgium,1,0
Serbia,,,|,belgium,1,0
Serbia,,,|,belgium,1,0
Serbia,,,|,belgium,1,0
Serbia,,,|,belgium,1,0
Serbia,1,,|,belgium,1,0
Serbia,1,0,|,belgium,1,0
Serbia,1,0,|,belgium,1,0
Serbia,1,0,|,belgium,1,0
Serbia,5,4,|,belgium,1,0
Serbia,12,7,|,belgium,1,0
Serbia,19,7,|,belgium,1,0
Serbia,35,16,|,belgium,1,0
Serbia,46,11,|,belgium,1,0
Serbia,48,2,|,belgium,1,0
Serbia,55,7,|,belgium,1,0
Serbia,65,10,|,belgium,1,0
Serbia,83,18,|,belgium,1,0
Serbia,103,20,|,belgium,1,0
Serbia,135,32,|,belgium,1,0
Serbia,171,36,|,belgium,1,0
Serbia,222,51,|,belgium,1,0
Serbia,249,27,|,belgium,1,0
Serbia,303,54,|,belgium,1,0
Serbia,384,81,|,belgium,2,1
Serbia,384,0,|,belgium,8,6
Serbia,457,73,|,belgium,13,5
Serbia,659,202,|,belgium,23,10
Serbia,741,82,|,belgium,50,27
Serbia,785,44,|,belgium,109,59
Serbia,900,115,|,belgium,169,60
Serbia,1060,160,|,belgium,200,31
Serbia,1171,111,|,belgium,239,39
Serbia,1476,305,|,belgium,267,28
Serbia,1624,148,|,belgium,314,47
Serbia,1908,284,|,belgium,314,0
Serbia,2200,292,|,belgium,559,245
Serbia,2447,247,|,belgium,689,130
Serbia,2666,219,|,belgium,886,197
Serbia,2867,201,|,belgium,1058,172
Serbia,3105,238,|,belgium,1243,185
Serbia,3380,275,|,belgium,1486,243
Serbia,,,|,belgium,1795,309
Serbia,,,|,belgium,2257,462
Serbia,,,|,belgium,2815,558
Serbia,,,|,belgium,3401,586
Serbia,,,|,belgium,3743,342
Serbia,,,|,belgium,4269,526
Serbia,,,|,belgium,4937,668
Serbia,,,|,belgium,6235,1298
Serbia,,,|,belgium,7284,1049
Serbia,,,|,belgium,9134,1850
Serbia,,,|,belgium,10836,1702
Serbia,,,|,belgium,11899,1063
Serbia,,,|,belgium,12775,876
Serbia,,,|,belgium,13964,1189
Serbia,,,|,belgium,15348,1384
Serbia,,,|,belgium,16770,1422
Serbia,,,|,belgium,18431,1661
Serbia,,,|,belgium,19691,1260
Serbia,,,|,belgium,20814,1123
Serbia,,,|,belgium,22194,1380
Serbia,,,|,belgium,23403,1209
Serbia,,,|,belgium,24983,1580
Serbia,,,|,belgium,26667,1684
Serbia,,,|,belgium,28018,1351
