Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,1,,|,denmark,1,-6190
Serbia,1,0,|,denmark,1,0
Serbia,5,4,|,denmark,3,2
Serbia,12,7,|,denmark,4,1
Serbia,19,7,|,denmark,4,0
Serbia,35,16,|,denmark,6,2
Serbia,46,11,|,denmark,11,5
Serbia,48,2,|,denmark,11,0
Serbia,55,7,|,denmark,24,13
Serbia,65,10,|,denmark,24,0
Serbia,83,18,|,denmark,37,13
Serbia,103,20,|,denmark,92,55
Serbia,135,32,|,denmark,264,172
Serbia,171,36,|,denmark,444,180
Serbia,222,51,|,denmark,617,173
Serbia,249,27,|,denmark,804,187
Serbia,303,54,|,denmark,836,32
Serbia,384,81,|,denmark,875,39
Serbia,384,0,|,denmark,933,58
Serbia,457,73,|,denmark,1025,92
Serbia,659,202,|,denmark,1116,91
Serbia,741,82,|,denmark,1225,109
Serbia,785,44,|,denmark,1337,112
Serbia,900,115,|,denmark,1420,83
Serbia,1060,160,|,denmark,1514,94
Serbia,1171,111,|,denmark,1572,58
Serbia,1476,305,|,denmark,1718,146
Serbia,1624,148,|,denmark,1862,144
Serbia,1908,284,|,denmark,2023,161
Serbia,2200,292,|,denmark,2200,177
Serbia,2447,247,|,denmark,2366,166
Serbia,2666,219,|,denmark,2564,198
Serbia,2867,201,|,denmark,2755,191
Serbia,3105,238,|,denmark,3039,284
Serbia,,,|,denmark,3290,251
Serbia,,,|,denmark,3573,283
Serbia,,,|,denmark,3946,373
Serbia,,,|,denmark,4269,323
Serbia,,,|,denmark,4561,292
Serbia,,,|,denmark,4875,314
Serbia,,,|,denmark,5266,391
Serbia,,,|,denmark,5597,331
Serbia,,,|,denmark,5830,233
Serbia,,,|,denmark,6014,184
Serbia,,,|,denmark,6191,177
