Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,mexico,1,-3843
Serbia,,,|,mexico,4,3
Serbia,,,|,mexico,5,1
Serbia,1,,|,mexico,5,0
Serbia,1,0,|,mexico,5,0
Serbia,1,0,|,mexico,5,0
Serbia,1,0,|,mexico,5,0
Serbia,5,4,|,mexico,6,1
Serbia,12,7,|,mexico,6,0
Serbia,19,7,|,mexico,7,1
Serbia,35,16,|,mexico,7,0
Serbia,46,11,|,mexico,7,0
Serbia,48,2,|,mexico,8,1
Serbia,55,7,|,mexico,12,4
Serbia,65,10,|,mexico,12,0
Serbia,83,18,|,mexico,26,14
Serbia,103,20,|,mexico,41,15
Serbia,135,32,|,mexico,53,12
Serbia,171,36,|,mexico,82,29
Serbia,222,51,|,mexico,93,11
Serbia,249,27,|,mexico,118,25
Serbia,303,54,|,mexico,164,46
Serbia,384,81,|,mexico,203,39
Serbia,384,0,|,mexico,251,48
Serbia,457,73,|,mexico,316,65
Serbia,659,202,|,mexico,367,51
Serbia,741,82,|,mexico,405,38
Serbia,785,44,|,mexico,475,70
Serbia,900,115,|,mexico,585,110
Serbia,1060,160,|,mexico,717,132
Serbia,1171,111,|,mexico,848,131
Serbia,1476,305,|,mexico,993,145
Serbia,1624,148,|,mexico,1094,101
Serbia,1908,284,|,mexico,1215,121
Serbia,2200,292,|,mexico,1378,163
Serbia,2447,247,|,mexico,1510,132
Serbia,2666,219,|,mexico,1688,178
Serbia,2867,201,|,mexico,1890,202
Serbia,3105,238,|,mexico,2143,253
Serbia,3380,275,|,mexico,2439,296
Serbia,,,|,mexico,2785,346
Serbia,,,|,mexico,3181,396
Serbia,,,|,mexico,3441,260
Serbia,,,|,mexico,3844,403
