Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,1,,|,norway,1,-6408
Serbia,1,0,|,norway,1,0
Serbia,1,0,|,norway,6,5
Serbia,1,0,|,norway,15,9
Serbia,5,4,|,norway,19,4
Serbia,12,7,|,norway,25,6
Serbia,19,7,|,norway,32,7
Serbia,35,16,|,norway,56,24
Serbia,46,11,|,norway,87,31
Serbia,48,2,|,norway,108,21
Serbia,55,7,|,norway,147,39
Serbia,65,10,|,norway,176,29
Serbia,83,18,|,norway,205,29
Serbia,103,20,|,norway,400,195
Serbia,135,32,|,norway,598,198
Serbia,171,36,|,norway,702,104
Serbia,222,51,|,norway,996,294
Serbia,249,27,|,norway,1090,94
Serbia,303,54,|,norway,1221,131
Serbia,384,81,|,norway,1333,112
Serbia,384,0,|,norway,1463,130
Serbia,457,73,|,norway,1550,87
Serbia,659,202,|,norway,1746,196
Serbia,741,82,|,norway,1914,168
Serbia,785,44,|,norway,2118,204
Serbia,900,115,|,norway,2385,267
Serbia,1060,160,|,norway,2621,236
Serbia,1171,111,|,norway,2863,242
Serbia,1476,305,|,norway,3084,221
Serbia,1624,148,|,norway,3369,285
Serbia,1908,284,|,norway,3755,386
Serbia,2200,292,|,norway,4015,260
Serbia,2447,247,|,norway,4284,269
Serbia,2666,219,|,norway,4445,161
Serbia,2867,201,|,norway,4641,196
Serbia,3105,238,|,norway,4863,222
Serbia,3380,275,|,norway,5147,284
Serbia,,,|,norway,5370,223
Serbia,,,|,norway,5550,180
Serbia,,,|,norway,5687,137
Serbia,,,|,norway,5865,178
Serbia,,,|,norway,6086,221
Serbia,,,|,norway,6086,0
Serbia,,,|,norway,6211,125
Serbia,,,|,norway,6314,103
Serbia,,,|,norway,6409,95
