Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,qatar,1,-2727
Serbia,,,|,qatar,3,2
Serbia,,,|,qatar,3,0
Serbia,,,|,qatar,7,4
Serbia,,,|,qatar,8,1
Serbia,1,,|,qatar,8,0
Serbia,1,0,|,qatar,8,0
Serbia,1,0,|,qatar,8,0
Serbia,1,0,|,qatar,15,7
Serbia,5,4,|,qatar,18,3
Serbia,12,7,|,qatar,24,6
Serbia,19,7,|,qatar,262,238
Serbia,35,16,|,qatar,262,0
Serbia,46,11,|,qatar,320,58
Serbia,48,2,|,qatar,337,17
Serbia,55,7,|,qatar,401,64
Serbia,65,10,|,qatar,439,38
Serbia,83,18,|,qatar,439,0
Serbia,103,20,|,qatar,452,13
Serbia,135,32,|,qatar,460,8
Serbia,171,36,|,qatar,470,10
Serbia,222,51,|,qatar,481,11
Serbia,249,27,|,qatar,494,13
Serbia,303,54,|,qatar,501,7
Serbia,384,81,|,qatar,526,25
Serbia,384,0,|,qatar,537,11
Serbia,457,73,|,qatar,549,12
Serbia,659,202,|,qatar,562,13
Serbia,741,82,|,qatar,590,28
Serbia,785,44,|,qatar,634,44
Serbia,900,115,|,qatar,693,59
Serbia,1060,160,|,qatar,781,88
Serbia,1171,111,|,qatar,835,54
Serbia,1476,305,|,qatar,949,114
Serbia,1624,148,|,qatar,1075,126
Serbia,1908,284,|,qatar,1325,250
Serbia,2200,292,|,qatar,1604,279
Serbia,2447,247,|,qatar,1832,228
Serbia,2666,219,|,qatar,2057,225
Serbia,2867,201,|,qatar,2210,153
Serbia,3105,238,|,qatar,2376,166
Serbia,3380,275,|,qatar,2512,136
Serbia,,,|,qatar,2728,216
