Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,russia,2,-13582
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,,,|,russia,2,0
Serbia,1,,|,russia,2,0
Serbia,1,0,|,russia,2,0
Serbia,1,0,|,russia,2,0
Serbia,1,0,|,russia,2,0
Serbia,5,4,|,russia,2,0
Serbia,12,7,|,russia,2,0
Serbia,19,7,|,russia,2,0
Serbia,35,16,|,russia,2,0
Serbia,46,11,|,russia,3,1
Serbia,48,2,|,russia,3,0
Serbia,55,7,|,russia,3,0
Serbia,65,10,|,russia,4,1
Serbia,83,18,|,russia,13,9
Serbia,103,20,|,russia,13,0
Serbia,135,32,|,russia,17,4
Serbia,171,36,|,russia,17,0
Serbia,222,51,|,russia,20,3
Serbia,249,27,|,russia,20,0
Serbia,303,54,|,russia,28,8
Serbia,384,81,|,russia,45,17
Serbia,384,0,|,russia,59,14
Serbia,457,73,|,russia,63,4
Serbia,659,202,|,russia,90,27
Serbia,741,82,|,russia,114,24
Serbia,785,44,|,russia,147,33
Serbia,900,115,|,russia,199,52
Serbia,1060,160,|,russia,253,54
Serbia,1171,111,|,russia,306,53
Serbia,1476,305,|,russia,367,61
Serbia,1624,148,|,russia,438,71
Serbia,1908,284,|,russia,495,57
Serbia,2200,292,|,russia,658,163
Serbia,2447,247,|,russia,840,182
Serbia,2666,219,|,russia,1036,196
Serbia,2867,201,|,russia,1264,228
Serbia,3105,238,|,russia,1534,270
Serbia,3380,275,|,russia,1836,302
Serbia,,,|,russia,2337,501
Serbia,,,|,russia,2777,440
Serbia,,,|,russia,3548,771
Serbia,,,|,russia,4149,601
Serbia,,,|,russia,4731,582
Serbia,,,|,russia,5389,658
Serbia,,,|,russia,6343,954
Serbia,,,|,russia,7497,1154
Serbia,,,|,russia,8672,1175
Serbia,,,|,russia,10131,1459
Serbia,,,|,russia,11917,1786
Serbia,,,|,russia,13584,1667
