Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Serbia,,,|,united-arab-emirates,4,-3732
Serbia,,,|,united-arab-emirates,4,0
Serbia,,,|,united-arab-emirates,4,0
Serbia,,,|,united-arab-emirates,4,0
Serbia,,,|,united-arab-emirates,5,1
Serbia,,,|,united-arab-emirates,5,0
Serbia,,,|,united-arab-emirates,5,0
Serbia,,,|,united-arab-emirates,5,0
Serbia,,,|,united-arab-emirates,5,0
Serbia,,,|,united-arab-emirates,5,0
Serbia,,,|,united-arab-emirates,7,2
Serbia,,,|,united-arab-emirates,7,0
Serbia,,,|,united-arab-emirates,8,1
Serbia,,,|,united-arab-emirates,8,0
Serbia,,,|,united-arab-emirates,8,0
Serbia,,,|,united-arab-emirates,8,0
Serbia,,,|,united-arab-emirates,8,0
Serbia,,,|,united-arab-emirates,8,0
Serbia,,,|,united-arab-emirates,9,1
Serbia,,,|,united-arab-emirates,9,0
Serbia,,,|,united-arab-emirates,9,0
Serbia,,,|,united-arab-emirates,9,0
Serbia,,,|,united-arab-emirates,9,0
Serbia,,,|,united-arab-emirates,9,0
Serbia,,,|,united-arab-emirates,13,4
Serbia,,,|,united-arab-emirates,13,0
Serbia,,,|,united-arab-emirates,13,0
Serbia,,,|,united-arab-emirates,13,0
Serbia,,,|,united-arab-emirates,13,0
Serbia,,,|,united-arab-emirates,13,0
Serbia,,,|,united-arab-emirates,19,6
Serbia,,,|,united-arab-emirates,21,2
Serbia,,,|,united-arab-emirates,21,0
Serbia,1,,|,united-arab-emirates,21,0
Serbia,1,0,|,united-arab-emirates,27,6
Serbia,1,0,|,united-arab-emirates,27,0
Serbia,1,0,|,united-arab-emirates,29,2
Serbia,5,4,|,united-arab-emirates,29,0
Serbia,12,7,|,united-arab-emirates,45,16
Serbia,19,7,|,united-arab-emirates,45,0
Serbia,35,16,|,united-arab-emirates,45,0
Serbia,46,11,|,united-arab-emirates,74,29
Serbia,48,2,|,united-arab-emirates,74,0
Serbia,55,7,|,united-arab-emirates,85,11
Serbia,65,10,|,united-arab-emirates,85,0
Serbia,83,18,|,united-arab-emirates,85,0
Serbia,103,20,|,united-arab-emirates,98,13
Serbia,135,32,|,united-arab-emirates,98,0
Serbia,171,36,|,united-arab-emirates,98,0
Serbia,222,51,|,united-arab-emirates,113,15
Serbia,249,27,|,united-arab-emirates,140,27
Serbia,303,54,|,united-arab-emirates,140,0
Serbia,384,81,|,united-arab-emirates,153,13
Serbia,384,0,|,united-arab-emirates,153,0
Serbia,457,73,|,united-arab-emirates,198,45
Serbia,659,202,|,united-arab-emirates,248,50
Serbia,741,82,|,united-arab-emirates,333,85
Serbia,785,44,|,united-arab-emirates,333,0
Serbia,900,115,|,united-arab-emirates,405,72
Serbia,1060,160,|,united-arab-emirates,468,63
Serbia,1171,111,|,united-arab-emirates,570,102
Serbia,1476,305,|,united-arab-emirates,611,41
Serbia,1624,148,|,united-arab-emirates,664,53
Serbia,1908,284,|,united-arab-emirates,814,150
Serbia,2200,292,|,united-arab-emirates,1024,210
Serbia,2447,247,|,united-arab-emirates,1264,240
Serbia,2666,219,|,united-arab-emirates,1505,241
Serbia,2867,201,|,united-arab-emirates,1799,294
Serbia,3105,238,|,united-arab-emirates,2076,277
Serbia,3380,275,|,united-arab-emirates,2359,283
Serbia,,,|,united-arab-emirates,2659,300
Serbia,,,|,united-arab-emirates,2990,331
Serbia,,,|,united-arab-emirates,3360,370
Serbia,,,|,united-arab-emirates,3736,376
