Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,345,,|,chile,1,-6926
Singapore,385,40,|,chile,1,0
Singapore,432,47,|,chile,4,3
Singapore,455,23,|,chile,4,0
Singapore,509,54,|,chile,4,0
Singapore,558,49,|,chile,8,4
Singapore,631,73,|,chile,8,0
Singapore,683,52,|,chile,13,5
Singapore,732,49,|,chile,23,10
Singapore,802,70,|,chile,23,0
Singapore,844,42,|,chile,43,20
Singapore,879,35,|,chile,61,18
Singapore,926,47,|,chile,74,13
Singapore,1000,74,|,chile,155,81
Singapore,1049,49,|,chile,201,46
Singapore,1114,65,|,chile,238,37
Singapore,1189,75,|,chile,238,0
Singapore,1309,120,|,chile,434,196
Singapore,1375,66,|,chile,537,103
Singapore,1481,106,|,chile,632,95
Singapore,1623,142,|,chile,746,114
Singapore,1910,287,|,chile,922,176
Singapore,2108,198,|,chile,1142,220
Singapore,,,|,chile,1306,164
Singapore,,,|,chile,1610,304
Singapore,,,|,chile,1909,299
Singapore,,,|,chile,2139,230
Singapore,,,|,chile,2449,310
Singapore,,,|,chile,2738,289
Singapore,,,|,chile,3031,293
Singapore,,,|,chile,3404,373
Singapore,,,|,chile,3737,333
Singapore,,,|,chile,4161,424
Singapore,,,|,chile,4471,310
Singapore,,,|,chile,4815,344
Singapore,,,|,chile,5116,301
Singapore,,,|,chile,5546,430
Singapore,,,|,chile,5972,426
Singapore,,,|,chile,6501,529
Singapore,,,|,chile,6927,426
