Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,178,,|,denmark,1,-6190
Singapore,200,22,|,denmark,1,0
Singapore,212,12,|,denmark,3,2
Singapore,226,14,|,denmark,4,1
Singapore,243,17,|,denmark,4,0
Singapore,266,23,|,denmark,6,2
Singapore,313,47,|,denmark,11,5
Singapore,345,32,|,denmark,11,0
Singapore,385,40,|,denmark,24,13
Singapore,432,47,|,denmark,24,0
Singapore,455,23,|,denmark,37,13
Singapore,509,54,|,denmark,92,55
Singapore,558,49,|,denmark,264,172
Singapore,631,73,|,denmark,444,180
Singapore,683,52,|,denmark,617,173
Singapore,732,49,|,denmark,804,187
Singapore,802,70,|,denmark,836,32
Singapore,844,42,|,denmark,875,39
Singapore,879,35,|,denmark,933,58
Singapore,926,47,|,denmark,1025,92
Singapore,1000,74,|,denmark,1116,91
Singapore,1049,49,|,denmark,1225,109
Singapore,1114,65,|,denmark,1337,112
Singapore,1189,75,|,denmark,1420,83
Singapore,1309,120,|,denmark,1514,94
Singapore,1375,66,|,denmark,1572,58
Singapore,1481,106,|,denmark,1718,146
Singapore,1623,142,|,denmark,1862,144
Singapore,1910,287,|,denmark,2023,161
Singapore,2108,198,|,denmark,2200,177
Singapore,,,|,denmark,2366,166
Singapore,,,|,denmark,2564,198
Singapore,,,|,denmark,2755,191
Singapore,,,|,denmark,3039,284
Singapore,,,|,denmark,3290,251
Singapore,,,|,denmark,3573,283
Singapore,,,|,denmark,3946,373
Singapore,,,|,denmark,4269,323
Singapore,,,|,denmark,4561,292
Singapore,,,|,denmark,4875,314
Singapore,,,|,denmark,5266,391
Singapore,,,|,denmark,5597,331
Singapore,,,|,denmark,5830,233
Singapore,,,|,denmark,6014,184
Singapore,,,|,denmark,6191,177
