Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,345,,|,ecuador,6,-7251
Singapore,385,40,|,ecuador,6,0
Singapore,432,47,|,ecuador,7,1
Singapore,455,23,|,ecuador,10,3
Singapore,509,54,|,ecuador,13,3
Singapore,558,49,|,ecuador,13,0
Singapore,631,73,|,ecuador,13,0
Singapore,683,52,|,ecuador,14,1
Singapore,732,49,|,ecuador,15,1
Singapore,802,70,|,ecuador,15,0
Singapore,844,42,|,ecuador,17,2
Singapore,879,35,|,ecuador,17,0
Singapore,926,47,|,ecuador,17,0
Singapore,1000,74,|,ecuador,28,11
Singapore,1049,49,|,ecuador,28,0
Singapore,1114,65,|,ecuador,37,9
Singapore,1189,75,|,ecuador,58,21
Singapore,1309,120,|,ecuador,111,53
Singapore,1375,66,|,ecuador,199,88
Singapore,1481,106,|,ecuador,367,168
Singapore,1623,142,|,ecuador,506,139
Singapore,1910,287,|,ecuador,789,283
Singapore,2108,198,|,ecuador,981,192
Singapore,,,|,ecuador,1082,101
Singapore,,,|,ecuador,1173,91
Singapore,,,|,ecuador,1403,230
Singapore,,,|,ecuador,1595,192
Singapore,,,|,ecuador,1823,228
Singapore,,,|,ecuador,1924,101
Singapore,,,|,ecuador,1962,38
Singapore,,,|,ecuador,2240,278
Singapore,,,|,ecuador,2748,508
Singapore,,,|,ecuador,3163,415
Singapore,,,|,ecuador,3368,205
Singapore,,,|,ecuador,3465,97
Singapore,,,|,ecuador,3646,181
Singapore,,,|,ecuador,3747,101
Singapore,,,|,ecuador,3747,0
Singapore,,,|,ecuador,4450,703
Singapore,,,|,ecuador,4965,515
Singapore,,,|,ecuador,7161,2196
Singapore,,,|,ecuador,7257,96
