Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Singapore,93,,|,france,2,-130725
Singapore,93,0,|,france,3,1
Singapore,102,9,|,france,3,0
Singapore,106,4,|,france,3,0
Singapore,108,2,|,france,4,1
Singapore,110,2,|,france,5,1
Singapore,110,0,|,france,5,0
Singapore,117,7,|,france,5,0
Singapore,130,13,|,france,6,1
Singapore,138,8,|,france,6,0
Singapore,150,12,|,france,6,0
Singapore,150,0,|,france,6,0
Singapore,160,10,|,france,6,0
Singapore,178,18,|,france,6,0
Singapore,178,0,|,france,6,0
Singapore,200,22,|,france,11,5
Singapore,212,12,|,france,11,0
Singapore,226,14,|,france,11,0
Singapore,243,17,|,france,11,0
Singapore,266,23,|,france,11,0
Singapore,313,47,|,france,11,0
Singapore,345,32,|,france,11,0
Singapore,385,40,|,france,12,1
Singapore,432,47,|,france,12,0
Singapore,455,23,|,france,12,0
Singapore,509,54,|,france,12,0
Singapore,558,49,|,france,12,0
Singapore,631,73,|,france,12,0
Singapore,683,52,|,france,12,0
Singapore,732,49,|,france,12,0
Singapore,802,70,|,france,12,0
Singapore,844,42,|,france,12,0
Singapore,879,35,|,france,14,2
Singapore,926,47,|,france,18,4
Singapore,1000,74,|,france,38,20
Singapore,1049,49,|,france,57,19
Singapore,1114,65,|,france,100,43
Singapore,1189,75,|,france,130,30
Singapore,1309,120,|,france,191,61
Singapore,1375,66,|,france,204,13
Singapore,1481,106,|,france,288,84
Singapore,1623,142,|,france,380,92
Singapore,1910,287,|,france,656,276
Singapore,2108,198,|,france,959,303
Singapore,,,|,france,1136,177
Singapore,,,|,france,1219,83
Singapore,,,|,france,1794,575
Singapore,,,|,france,2293,499
Singapore,,,|,france,2293,0
Singapore,,,|,france,3681,1388
Singapore,,,|,france,4496,815
Singapore,,,|,france,4532,36
Singapore,,,|,france,6683,2151
Singapore,,,|,france,7715,1032
Singapore,,,|,france,9124,1409
Singapore,,,|,france,10970,1846
Singapore,,,|,france,12758,1788
Singapore,,,|,france,14463,1705
Singapore,,,|,france,16243,1780
Singapore,,,|,france,20123,3880
Singapore,,,|,france,22622,2499
Singapore,,,|,france,25600,2978
Singapore,,,|,france,29551,3951
Singapore,,,|,france,33402,3851
Singapore,,,|,france,38105,4703
Singapore,,,|,france,40708,2603
Singapore,,,|,france,45170,4462
Singapore,,,|,france,52827,7657
Singapore,,,|,france,57749,4922
Singapore,,,|,france,59929,2180
Singapore,,,|,france,65202,5273
Singapore,,,|,france,90848,25646
Singapore,,,|,france,93773,2925
Singapore,,,|,france,98963,5190
Singapore,,,|,france,110065,11102
Singapore,,,|,france,113959,3894
Singapore,,,|,france,118781,4822
Singapore,,,|,france,125931,7150
Singapore,,,|,france,130727,4796
